Ensembl Transcript ID	Chromosome Name	Transcript Start (bp)	Transcript End (bp)
ENSDART00000133587	5	13751951	13762969
ENSDART00000081499	5	13752264	13762705
ENSDART00000153817	24	9070679	9087365
ENSDART00000137250	24	9819383	9822071
ENSDART00000144022	9	14845443	14959806
ENSDART00000137117	9	15076873	15268962
ENSDART00000131512	9	15419349	15484361
ENSDART00000137043	9	15291123	15484361
ENSDART00000061062	9	14842567	15483544
ENSDART00000109284	25	4867879	4898339
ENSDART00000149036	25	4886669	4890237
ENSDART00000149870	13	8886986	8908288
ENSDART00000137666	13	8886989	8908288
ENSDART00000102098	13	8894871	8907852
ENSDART00000099405	13	8894871	8907852
ENSDART00000144326	4	5805164	5897517
ENSDART00000154021	4	5895169	5897517
ENSDART00000133268	4	5895169	5897517
ENSDART00000129751	15	14394622	14400894
ENSDART00000154680	25	8890336	8970919
ENSDART00000091894	25	8900908	8970914
ENSDART00000020607	25	3286601	3302365
ENSDART00000137004	25	3294656	3300741
ENSDART00000126188	25	3286642	3302359
ENSDART00000124448	25	3198518	3301786
ENSDART00000136168	16	11649540	11665934
ENSDART00000141111	16	11658974	11659928
ENSDART00000130382	16	11659560	11665935
ENSDART00000104037	16	11649544	11665904
ENSDART00000128743	4	470796	486492
ENSDART00000150812	4	471092	476516
ENSDART00000150594	4	475739	476327
ENSDART00000150852	4	478048	479088
ENSDART00000105884	12	6123093	6198935
ENSDART00000101038	2	2025945	2058682
ENSDART00000129354	2	2025974	2081419
ENSDART00000152152	19	3093268	3106907
ENSDART00000105991	19	3094444	3105821
ENSDART00000013294	24	6443802	6459153
ENSDART00000140897	18	345027	355125
ENSDART00000142805	24	11369320	11370349
ENSDART00000135007	24	11369320	11370759
ENSDART00000141300	24	11369522	11370389
ENSDART00000149218	4	6747634	6783981
ENSDART00000009909	4	6769178	6783407
ENSDART00000156093	7	6581888	6628168
ENSDART00000141005	9	13396651	13489022
ENSDART00000026644	9	13454175	13488594
ENSDART00000146754	21	4047519	4058983
ENSDART00000092047	10	11733687	11754461
ENSDART00000099535	21	4047943	4065814
ENSDART00000144515	21	4048010	4059688
