# 5 genes!!
overlap over ENSDART00000123244, at 11:31190339-31204509

overlap over ENSDART00000154287, at 25:8830500-8830761
overlap over ENSDART00000131678, at 20:42814734-42816205
overlap over ENSDART00000155343, at 21:44358425-44373090
overlap over ENSDART00000099278, at 21:44326513-44372931
overlap over ENSDART00000131868, at 22:39871530-39874408
overlap over ENSDART00000105936, at 22:10014403-10016940
overlap over ENSDART00000127384, at 23:36146804-36149032
overlap over ENSDART00000129489, at 1:572580-658993
overlap over ENSDART00000065642, at 1:59992739-60022767
overlap over ENSDART00000122836, at 3:18285231-18385927
overlap over ENSDART00000104270, at 3:18296695-18300272
overlap over ENSDART00000016075, at 4:16395888-16438594
overlap over ENSDART00000123141, at 4:36663101-36857756
overlap over ENSDART00000135548, at 4:36714004-36715328
overlap over ENSDART00000124966, at 7:14467051-14473897  
overlap over ENSDART00000112249, at 8:14239581-14258982
overlap over ENSDART00000154946, at 17:53951710-53959787
overlap over ENSDART00000135930, at 16:36261504-36402983
overlap over ENSDART00000153471, at 16:2018066-2019112
overlap over ENSDART00000147608, at 19:19183716-19336956
overlap over ENSDART00000147608, at 19:19183716-19336956
