#>P	WBGene00001650	F25H8.3b	F25H8.3b	IV	9935070	9945775	-1	A disintegrin and metalloproteinase with thrombospondin motifs gon-1  [Source:UniProtKB/Swiss-Prot;Acc:Q19791]
#>E	F25H8.3a.e27,F25H8.3a.e26,F25H8.3a.e25,F25H8.3a.e24,F25H8.3a.e23,F25H8.3a.e22,F25H8.3a.e21,F25H8.3a.e20,F25H8.3a.e19,F25H8.3a.e18,F25H8.3a.e17,F25H8.3a.e16,F25H8.3a.e15,F25H8.3a.e14,F25H8.3a.e13,F25H8.3a.e12,F25H8.3b.e12,F25H8.3a.e11,F25H8.3a.e10,F25H8.3a.e9,F25H8.3a.e8,F25H8.3a.e7,F25H8.3a.e6,F25H8.3a.e5,F25H8.3a.e4,F25H8.3a.e3,F25H8.3a.e2,F25H8.3a.e1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9935067-9935237,9935286-9935482,9935580-9935716,9935765-9935945,9935992-9936343,9936390-9936563,9937037-9937210,9937270-9937440,9938620-9938901,9938946-9939104,9939156-9939641,9939688-9939948,9940006-9940876,9940928-9941369,9941467-9941676,9941727-9942055,9942311-9942355,9942444-9942592,9942648-9942758,9942809-9942965,9943015-9943109,9943155-9943702,9944733-9944882,9944927-9944993,9945037-9945211,9945262-9945511,9945559-9945621,9945685-9945775
IV	9935154	9935937	-1	Pept_M12B_GON-ADAMTSs	235.6	9935154-9935237,9935286-9935482,9935580-9935716,9935765-9935937	PF08685	http://pfam.xfam.org/family/PF08685
IV	9941152	9941602	-1	ADAM_spacer1	114.7	9941152-9941369,9941467-9941602	PF05986	http://pfam.xfam.org/family/PF05986
IV	9942926	9943661	-1	Peptidase_M12B	94.7	9942926-9942965,9943015-9943109,9943155-9943661	PF01421	http://pfam.xfam.org/family/PF01421
IV	9940207	9940359	-1	TSP1_rpt	166	9940207-9940359	PF00090	http://pfam.xfam.org/family/PF00090
IV	9939597	9939798	-1	TSP1_rpt	166	9939597-9939641,9939688-9939798	PF00090	http://pfam.xfam.org/family/PF00090
IV	9939387	9939539	-1	TSP1_rpt	166	9939387-9939539	PF00090	http://pfam.xfam.org/family/PF00090
IV	9938764	9938960	-1	TSP1_rpt	166	9938764-9938901,9938946-9938960	PF00090	http://pfam.xfam.org/family/PF00090
IV	9942331	9942526	-1	TSP1_rpt	166	9942331-9942355,9942444-9942526	PF00090	http://pfam.xfam.org/family/PF00090
IV	9940372	9940515	-1	TSP1_rpt	166	9940372-9940515	PF00090	http://pfam.xfam.org/family/PF00090
IV	9937160	9937287	-1	TSP1_rpt	166	9937160-9937210,9937270-9937287	PF00090	http://pfam.xfam.org/family/PF00090
IV	9935944	9936142	-1	TSP1_rpt	166	9935944-9935945,9935992-9936142	PF00090	http://pfam.xfam.org/family/PF00090
IV	9940531	9940686	-1	TSP1_rpt	166	9940531-9940686	PF00090	http://pfam.xfam.org/family/PF00090
IV	9938991	9939170	-1	TSP1_rpt	166	9938991-9939104,9939156-9939170	PF00090	http://pfam.xfam.org/family/PF00090
IV	9936287	9936404	-1	TSP1_rpt	166	9936287-9936343,9936390-9936404	PF00090	http://pfam.xfam.org/family/PF00090
IV	9937330	9938637	-1	TSP1_rpt	166	9937330-9937440,9938620-9938637	PF00090	http://pfam.xfam.org/family/PF00090
IV	9939814	9940020	-1	TSP1_rpt	166	9939814-9939948,9940006-9940020	PF00090	http://pfam.xfam.org/family/PF00090
IV	9940120	9940191	-1	TSP1_rpt	166	9940120-9940191	PF00090	http://pfam.xfam.org/family/PF00090
