#>P	WBGene00017233	F07G11.9	F07G11.9	V	7314147	7321009	-1	LysM Domain (peptidoglycan binding) protein  [Source:RefSeq peptide;Acc:NP_504862]
#>E	F07G11.9.e12,F07G11.9.e11,F07G11.9.e10,F07G11.9.e9,F07G11.9.e8,F07G11.9.e7,F07G11.9.e6,F07G11.9.e5,F07G11.9.e4,F07G11.9.e3,F07G11.9.e2,F07G11.9.e1	1,1,1,1,1,1,1,1,1,1,1,1	7314144-7314278,7314322-7315486,7315533-7316170,7316218-7316538,7316583-7317009,7317062-7317193,7317241-7317443,7317492-7317758,7317841-7318359,7318406-7318527,7318854-7320775,7320825-7321009
V	7314736	7315834	-1	Glyco_hydro18_cat	269.3	7314736-7315486,7315533-7315834	PF00704	http://pfam.sanger.ac.uk/family?acc=PF00704
V	7315937	7316292	-1	Self-incomp_S1	62.6	7315937-7316170,7316218-7316292	PF05938	http://pfam.sanger.ac.uk/family?acc=PF05938
V	7319629	7319754	-1	LysM_dom	553.3	7319629-7319754	PF01476	http://pfam.sanger.ac.uk/family?acc=PF01476
V	7320211	7320336	-1	LysM_dom	553.3	7320211-7320336	PF01476	http://pfam.sanger.ac.uk/family?acc=PF01476
V	7319434	7319556	-1	LysM_dom	553.3	7319434-7319556	PF01476	http://pfam.sanger.ac.uk/family?acc=PF01476
V	7320403	7320534	-1	LysM_dom	553.3	7320403-7320534	PF01476	http://pfam.sanger.ac.uk/family?acc=PF01476
V	7318924	7319052	-1	LysM_dom	553.3	7318924-7319052	PF01476	http://pfam.sanger.ac.uk/family?acc=PF01476
V	7320601	7320720	-1	LysM_dom	553.3	7320601-7320720	PF01476	http://pfam.sanger.ac.uk/family?acc=PF01476
V	7320022	7320150	-1	LysM_dom	553.3	7320022-7320150	PF01476	http://pfam.sanger.ac.uk/family?acc=PF01476
V	7318336	7318501	-1	LysM_dom	553.3	7318336-7318359,7318406-7318501	PF01476	http://pfam.sanger.ac.uk/family?acc=PF01476
V	7320766	7320937	-1	LysM_dom	553.3	7320766-7320775,7320825-7320937	PF01476	http://pfam.sanger.ac.uk/family?acc=PF01476
V	7319830	7319958	-1	LysM_dom	553.3	7319830-7319958	PF01476	http://pfam.sanger.ac.uk/family?acc=PF01476
V	7318183	7318308	-1	LysM_dom	553.3	7318183-7318308	PF01476	http://pfam.sanger.ac.uk/family?acc=PF01476
V	7319191	7319313	-1	LysM_dom	553.3	7319191-7319313	PF01476	http://pfam.sanger.ac.uk/family?acc=PF01476
