#>P	WBGene00004854	F40E10.4	F40E10.4	X	14674375	14683024	1	Slit homolog 1 protein  [Source:UniProtKB/Swiss-Prot;Acc:G5EFX6]
#>E	F40E10.4.e1,F40E10.4.e2,F40E10.4.e3,F40E10.4.e4,F40E10.4.e5,F40E10.4.e6,F40E10.4.e7,F40E10.4.e8,F40E10.4.e9,F40E10.4.e10,F40E10.4.e11,F40E10.4.e12,F40E10.4.e13,F40E10.4.e14,F40E10.4.e15,F40E10.4.e16,F40E10.4.e17,F40E10.4.e18,F40E10.4.e19,F40E10.4.e20,F40E10.4.e21,F40E10.4.e22,F40E10.4.e23,F40E10.4.e24,F40E10.4.e25,F40E10.4.e26,F40E10.4.e27,F40E10.4.e28,F40E10.4.e29,F40E10.4.e30,F40E10.4.e31,F40E10.4.e32	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	14674375-14674520,14674564-14674635,14675083-14675154,14675198-14675269,14675322-14675420,14675470-14675577,14675646-14675790,14675846-14676006,14676478-14676549,14676602-14676673,14676724-14677103,14677669-14677765,14677815-14678015,14678062-14678133,14678189-14678260,14678309-14678457,14678507-14678714,14678759-14678855,14679465-14679583,14679635-14679790,14679841-14680165,14680211-14680344,14680882-14680975,14681023-14681148,14681193-14681371,14681418-14681542,14681593-14681811,14682366-14682473,14682523-14682624,14682674-14682786,14682845-14682909,14682955-14683027
X	14682579	14682617	1	EGF-like_CS	24.9	14682579-14682617	PF12661	http://pfam.xfam.org/family/PF12661
X	14679887	14679979	1	EGF-like_dom	106.1	14679887-14679979	PF00008	http://pfam.xfam.org/family/PF00008
X	14680280	14680915	1	EGF-like_dom	106.1	14680280-14680344,14680882-14680915	PF00008	http://pfam.xfam.org/family/PF00008
X	14680121	14680258	1	EGF-like_dom	106.1	14680121-14680165,14680211-14680258	PF00008	http://pfam.xfam.org/family/PF00008
X	14680937	14681073	1	EGF-like_dom	106.1	14680937-14680975,14681023-14681073	PF00008	http://pfam.xfam.org/family/PF00008
X	14681355	14682394	1	Laminin_G	77.8	14681355-14681371,14681418-14681542,14681593-14681811,14682366-14682394	PF02210	http://pfam.xfam.org/family/PF02210
X	14678635	14678852	1	Leu-rich_rpt	281.5	14678635-14678714,14678759-14678852	PF13855	http://pfam.xfam.org/family/PF13855
X	14675144	14675415	1	Leu-rich_rpt	281.5	14675144-14675154,14675198-14675269,14675322-14675415	PF13855	http://pfam.xfam.org/family/PF13855
X	14676536	14676817	1	Leu-rich_rpt	281.5	14676536-14676549,14676602-14676673,14676724-14676817	PF13855	http://pfam.xfam.org/family/PF13855
X	14677864	14678083	1	Leu-rich_rpt	281.5	14677864-14678015,14678062-14678083	PF13855	http://pfam.xfam.org/family/PF13855
X	14678120	14678228	1	Leu-rich_rpt	50.6	14678120-14678133,14678189-14678228	PF00560	http://pfam.xfam.org/family/PF00560
X	14675906	14675989	1	LRRNT	70.6	14675906-14675989	PF01462	http://pfam.xfam.org/family/PF01462
X	14678545	14678625	1	LRRNT	70.6	14678545-14678625	PF01462	http://pfam.xfam.org/family/PF01462
