#>P	WBGene00003497	K07D8.1	K07D8.1	III	7480077	7489062	-1	Transmembrane matrix receptor MUP-4  [Source:UniProtKB/Swiss-Prot;Acc:Q21281]
#>E	K07D8.1.e20,K07D8.1.e19,K07D8.1.e18,K07D8.1.e17,K07D8.1.e16,K07D8.1.e15,K07D8.1.e14,K07D8.1.e13,K07D8.1.e12,K07D8.1.e11,K07D8.1.e10,K07D8.1.e9,K07D8.1.e8,K07D8.1.e7,K07D8.1.e6,K07D8.1.e5,K07D8.1.e4,K07D8.1.e3,K07D8.1.e2,K07D8.1.e1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	7480074-7480175,7480223-7480486,7480538-7481078,7481129-7481319,7481488-7481620,7481666-7481928,7481978-7482709,7482759-7483057,7483374-7483658,7483724-7484035,7484084-7484374,7484422-7484508,7484556-7484765,7484813-7484962,7485067-7485372,7485421-7485907,7486003-7486535,7486915-7487911,7488141-7488196,7488987-7489062
III	7481926	7482262	-1	SEA_dom	33.6	7481926-7481928,7481978-7482262	PF01390	http://pfam.xfam.org/family/PF01390
III	7483764	7483838	-1	EGF-like_dom	177.5	7483764-7483838	PF00008	http://pfam.xfam.org/family/PF00008
III	7485755	7486356	-1	VWF_A	149.9	7485755-7485907,7486003-7486356	PF00092	http://pfam.xfam.org/family/PF00092
III	7484865	7484951	-1	EGF_dom	212.1	7484865-7484951	PF12947	http://pfam.xfam.org/family/PF12947
III	7487570	7487638	-1	EGF-like_dom	177.5	7487570-7487638	PF00008	http://pfam.xfam.org/family/PF00008
III	7483914	7484015	-1	EGF-like_Ca-bd_dom	207.9	7483914-7484015	PF07645	http://pfam.xfam.org/family/PF07645
III	7484459	7484613	-1	EGF-like_Ca-bd_dom	207.9	7484459-7484508,7484556-7484613	PF07645	http://pfam.xfam.org/family/PF07645
III	7487414	7487518	-1	EGF-like_Ca-bd_dom	207.9	7487414-7487518	PF07645	http://pfam.xfam.org/family/PF07645
III	7487687	7487830	-1	EGF-like_Ca-bd_dom	207.9	7487687-7487830	PF07645	http://pfam.xfam.org/family/PF07645
III	7483543	7483656	-1	EGF-like_Ca-bd_dom	207.9	7483543-7483656	PF07645	http://pfam.xfam.org/family/PF07645
III	7484665	7484760	-1	EGF-like_Ca-bd_dom	207.9	7484665-7484760	PF07645	http://pfam.xfam.org/family/PF07645
III	7483384	7483518	-1	EGF-like_Ca-bd_dom	207.9	7483384-7483518	PF07645	http://pfam.xfam.org/family/PF07645
III	7481060	7481223	-1	EGF-like_Ca-bd_dom	207.9	7481060-7481078,7481129-7481223	PF07645	http://pfam.xfam.org/family/PF07645
