#>P	WBGene00003001	R107.8	R107.8	III	9060405	9071388	-1	\N
#>E	R107.8.e10,R107.8.e9,R107.8.e8,R107.8.e7,R107.8.e6,R107.8.e5,R107.8.e4,R107.8.e3,R107.8.e2,R107.8.e1	1,1,1,1,1,1,1,1,1,1	9060402-9060524,9060912-9061259,9061570-9063493,9063542-9063670,9063717-9063849,9064154-9065270,9066723-9066913,9067929-9067985,9069601-9069719,9071240-9071388
III	9061576	9061842	-1	Ankyrin_rpt-contain_dom	107.4	9061576-9061842	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
III	9062968	9063123	-1	Notch_NOD_dom	56.3	9062968-9063123	PF06816	http://pfam.sanger.ac.uk/family?acc=PF06816
III	9062698	9062865	-1	Notch_NODP_dom	44.4	9062698-9062865	PF07684	http://pfam.sanger.ac.uk/family?acc=PF07684
III	9065052	9065090	-1	EGF-like_CS	55.1	9065052-9065090	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
III	9062017	9062112	-1	Ankyrin_rpt	76.6	9062017-9062112	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
III	9063262	9063363	-1	Notch_dom	88.5	9063262-9063363	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
III	9063382	9063480	-1	Notch_dom	88.5	9063382-9063480	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
III	9063139	9063246	-1	Notch_dom	88.5	9063139-9063246	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
III	9064173	9064268	-1	EGF-like_dom	179.7	9064173-9064268	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
III	9064707	9064796	-1	EGF-like_dom	179.7	9064707-9064796	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
III	9064938	9065027	-1	EGF-like_dom	179.7	9064938-9065027	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
III	9064590	9064682	-1	EGF-like_dom	179.7	9064590-9064682	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
III	9063755	9063844	-1	EGF-like_dom	179.7	9063755-9063844	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
III	9064470	9064565	-1	EGF-like_dom	179.7	9064470-9064565	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
III	9065232	9066785	-1	EGF-like_Ca-bd_dom	46.7	9065232-9065270,9066723-9066785	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
