#>P	WBGene00003165	T07H8.4a.1	T07H8.4a.1	V	6956638	6966349	1	\N
#>E	T07H8.4a.1.e2,T07H8.4a.1.e3,T07H8.4a.1.e4,T07H8.4a.1.e5,T07H8.4a.1.e6,T07H8.4a.1.e7,T07H8.4a.1.e8,T07H8.4a.1.e9,T07H8.4a.1.e10,T07H8.4a.1.e11,T07H8.4a.1.e12,T07H8.4a.1.e13,T07H8.4a.1.e14,T07H8.4a.1.e15,T07H8.4a.1.e16,T07H8.4a.1.e17,T07H8.4a.1.e18,T07H8.4a.1.e19,T07H8.4a.1.e20,T07H8.4a.1.e21,T07H8.4a.1.e22,T07H8.4a.1.e23,T07H8.4a.1.e24,T07H8.4a.1.e25,T07H8.4a.1.e26,T07H8.4a.1.e27,T07H8.4a.1.e28,T07H8.4a.1.e29,T07H8.4a.1.e30,T07H8.4a.1.e31	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6956638-6956778,6957029-6957117,6957173-6957422,6957478-6957601,6957769-6957964,6958249-6958339,6958388-6958508,6958557-6958769,6958814-6959517,6959572-6959695,6959741-6959872,6959917-6960059,6960105-6960503,6960550-6961284,6961365-6961419,6961473-6961579,6961658-6961787,6961832-6961901,6961970-6962106,6962156-6962356,6962406-6962609,6962683-6962762,6962818-6963008,6963056-6963297,6964646-6964783,6965152-6965346,6965392-6965722,6965775-6965842,6965890-6966013,6966064-6966352
V	6957768	6957869	1	EGF-like_Ca-bd_dom	31.1	6957768-6957869	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
V	6962194	6962334	1	Kunitz_BPTI	441.6	6962194-6962334	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	6965394	6965552	1	Kunitz_BPTI	441.6	6965394-6965552	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	6957930	6958405	1	Kunitz_BPTI	441.6	6957930-6957964,6958249-6958339,6958388-6958405	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	6965571	6965781	1	Kunitz_BPTI	441.6	6965571-6965722,6965775-6965781	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	6962715	6962916	1	Kunitz_BPTI	441.6	6962715-6962762,6962818-6962916	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	6961186	6961382	1	Kunitz_BPTI	441.6	6961186-6961284,6961365-6961382	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	6961873	6962078	1	Kunitz_BPTI	441.6	6961873-6961901,6961970-6962078	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	6965154	6965318	1	Kunitz_BPTI	441.6	6965154-6965318	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	6956770	6957230	1	Kunitz_BPTI	441.6	6956770-6956778,6957029-6957117,6957173-6957230	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	6962411	6962581	1	Kunitz_BPTI	441.6	6962411-6962581	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	6960369	6960567	1	Kunitz_BPTI	441.6	6960369-6960503,6960550-6960567	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	6962971	6963170	1	Kunitz_BPTI	441.6	6962971-6963008,6963056-6963170	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	6963240	6964728	1	Kunitz_BPTI	441.6	6963240-6963297,6964646-6964728	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
