#>P	WBGene00022816	ZK783.1k	ZK783.1k	III	7625386	7640553	1	FiBrilliN homolog  [Source:RefSeq peptide;Acc:NP_001263711]
#>E	ZK783.1a.e1,ZK783.1a.e2,ZK783.1a.e3,ZK783.1a.e4,ZK783.1a.e5,ZK783.1a.e6,ZK783.1a.e7,ZK783.1k.e8,ZK783.1a.e9,ZK783.1a.e10,ZK783.1a.e11,ZK783.1a.e12,ZK783.1a.e13,ZK783.1a.e14,ZK783.1a.e15,ZK783.1a.e16,ZK783.1a.e17,ZK783.1a.e18,ZK783.1a.e19,ZK783.1a.e20,ZK783.1a.e21,ZK783.1a.e22,ZK783.1a.e23,ZK783.1a.e24,ZK783.1a.e25	1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0	7625386-7625461,7626212-7626314,7626796-7626902,7626953-7627290,7627586-7627874,7628089-7628322,7628372-7628986,7629293-7631004,7631054-7631147,7631223-7631829,7631890-7632011,7632209-7633138,7633191-7633604,7633654-7633872,7634818-7634886,7636315-7636473,7637191-7637256,7637356-7637496,7637800-7638227,7638276-7638561,7638614-7638910,7638979-7639169,7639220-7639276,7639328-7639864,7640302-7640556
III	7633433	7633600	1	EB_dom	23.6	7633433-7633600	PF01683	http://pfam.xfam.org/family/PF01683
III	7632751	7632843	1	EGF_dom	230.7	7632751-7632843	PF12947	http://pfam.xfam.org/family/PF12947
III	7638772	7638879	1	EGF_dom	230.7	7638772-7638879	PF12947	http://pfam.xfam.org/family/PF12947
III	7627063	7627176	1	EGF-like_Ca-bd_dom	263.2	7627063-7627176	PF07645	http://pfam.xfam.org/family/PF07645
III	7627619	7627732	1	EGF-like_Ca-bd_dom	263.2	7627619-7627732	PF07645	http://pfam.xfam.org/family/PF07645
III	7633653	7633772	1	EGF-like_Ca-bd_dom	263.2	7633653-7633772	PF07645	http://pfam.xfam.org/family/PF07645
III	7627748	7627870	1	EGF-like_Ca-bd_dom	263.2	7627748-7627870	PF07645	http://pfam.xfam.org/family/PF07645
III	7632610	7632729	1	EGF-like_Ca-bd_dom	263.2	7632610-7632729	PF07645	http://pfam.xfam.org/family/PF07645
III	7632334	7632456	1	EGF-like_Ca-bd_dom	263.2	7632334-7632456	PF07645	http://pfam.xfam.org/family/PF07645
III	7628205	7628297	1	EGF-like_Ca-bd_dom	263.2	7628205-7628297	PF07645	http://pfam.xfam.org/family/PF07645
III	7627180	7627591	1	EGF-like_Ca-bd_dom	263.2	7627180-7627290,7627586-7627591	PF07645	http://pfam.xfam.org/family/PF07645
III	7632208	7632330	1	EGF-like_Ca-bd_dom	263.2	7632208-7632330	PF07645	http://pfam.xfam.org/family/PF07645
III	7633190	7633309	1	EGF-like_Ca-bd_dom	263.2	7633190-7633309	PF07645	http://pfam.xfam.org/family/PF07645
III	7633012	7633131	1	EGF-like_Ca-bd_dom	263.2	7633012-7633131	PF07645	http://pfam.xfam.org/family/PF07645
III	7638102	7638131	1	EGF-like_CS	31.5	7638102-7638131	PF12661	http://pfam.xfam.org/family/PF12661
