#>P	WBGene00016913	C54D1.5.1	C54D1.5.1	X	7144937	7151186	-1	Laminin-like protein lam-2  [Source:UniProtKB/Swiss-Prot;Acc:Q18823]
#>E	C54D1.5.1.e12,C54D1.5.1.e11,C54D1.5.1.e10,C54D1.5.1.e9,C54D1.5.1.e8,C54D1.5.1.e7,C54D1.5.1.e6,C54D1.5.1.e5,C54D1.5.1.e4,C54D1.5.1.e3,C54D1.5.1.e2,C54D1.5.1.e1	0,1,1,1,1,1,1,1,1,1,1,1	7144934-7145017,7145067-7145248,7145300-7146625,7146677-7148187,7148238-7148693,7148740-7148861,7148908-7149092,7149144-7149322,7149375-7149689,7149734-7149851,7149899-7150025,7150890-7151186
X	7149377	7151036	-1	Laminin_N	265.1	7149377-7149689,7149734-7149851,7149899-7150025,7150890-7151036	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
X	7147887	7148344	-1	Laminin_IV	81.2	7147887-7148187,7148238-7148344	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
X	7147014	7147151	-1	Laminin_EGF	270.9	7147014-7147151	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
X	7148941	7149090	-1	Laminin_EGF	270.9	7148941-7149090	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
X	7146879	7147007	-1	Laminin_EGF	270.9	7146879-7147007	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
X	7147641	7147781	-1	Laminin_EGF	270.9	7147641-7147781	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
X	7147158	7147319	-1	Laminin_EGF	270.9	7147158-7147319	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
X	7147491	7147634	-1	Laminin_EGF	270.9	7147491-7147634	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
X	7147326	7147484	-1	Laminin_EGF	270.9	7147326-7147484	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
X	7149172	7149321	-1	Laminin_EGF	270.9	7149172-7149321	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
X	7148537	7148689	-1	Laminin_EGF	270.9	7148537-7148689	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
X	7147812	7147886	-1	Laminin_EGF	270.9	7147812-7147886	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
