#>P	WBGene00016558	C41A3.1	C41A3.1	X	5413810	5441915	1	\N
#>E	C41A3.1.e1,C41A3.1.e2,C41A3.1.e3,C41A3.1.e4,C41A3.1.e5,C41A3.1.e6,C41A3.1.e7,C41A3.1.e8,C41A3.1.e9,C41A3.1.e10,C41A3.1.e11,C41A3.1.e12,C41A3.1.e13,C41A3.1.e14,C41A3.1.e15,C41A3.1.e16,C41A3.1.e17,C41A3.1.e18,C41A3.1.e19,C41A3.1.e20,C41A3.1.e21,C41A3.1.e22,C41A3.1.e23,C41A3.1.e24,C41A3.1.e25,C41A3.1.e26,C41A3.1.e27,C41A3.1.e28,C41A3.1.e29,C41A3.1.e30	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	5413810-5413895,5414257-5414377,5414426-5414640,5414996-5415148,5415193-5415430,5415830-5415978,5416022-5418057,5418102-5418395,5418440-5418528,5418579-5418700,5419026-5419367,5419414-5420806,5421268-5421841,5421911-5422222,5422965-5423096,5423143-5425124,5425574-5425738,5425785-5425926,5425976-5427186,5427666-5427881,5427937-5429440,5429485-5429686,5429734-5440366,5440418-5440663,5440708-5440881,5441194-5441379,5441425-5441472,5441521-5441630,5441678-5441762,5441820-5441918
X	5439350	5440048	1	AMP-dep_Synth/Lig	110.1	5439350-5440048	PF00501	http://pfam.sanger.ac.uk/family?acc=PF00501
X	5436848	5437213	1	PKS_KR	245.6	5436848-5437213	PF08659	http://pfam.sanger.ac.uk/family?acc=PF08659
X	5427037	5428092	1	PKS_KR	245.6	5427037-5427186,5427666-5427881,5427937-5428092	PF08659	http://pfam.sanger.ac.uk/family?acc=PF08659
X	5432927	5433298	1	PKS_KR	245.6	5432927-5433298	PF08659	http://pfam.sanger.ac.uk/family?acc=PF08659
X	5430779	5431465	1	Ketoacyl_synth_N	851.2	5430779-5431465	PF00109	http://pfam.sanger.ac.uk/family?acc=PF00109
X	5417532	5418271	1	Ketoacyl_synth_N	851.2	5417532-5418057,5418102-5418271	PF00109	http://pfam.sanger.ac.uk/family?acc=PF00109
X	5433827	5434495	1	Ketoacyl_synth_N	851.2	5433827-5434495	PF00109	http://pfam.sanger.ac.uk/family?acc=PF00109
X	5421694	5423258	1	Ketoacyl_synth_N	851.2	5421694-5421841,5421911-5422222,5422965-5423096,5423143-5423258	PF00109	http://pfam.sanger.ac.uk/family?acc=PF00109
X	5413825	5415319	1	Ketoacyl_synth_N	851.2	5413825-5413895,5414257-5414377,5414426-5414640,5414996-5415148,5415193-5415319	PF00109	http://pfam.sanger.ac.uk/family?acc=PF00109
X	5420462	5421315	1	PKS_dehydratase	94.9	5420462-5420806,5421268-5421315	PF14765	http://pfam.sanger.ac.uk/family?acc=PF14765
X	5430026	5430718	1	PKS_dehydratase	94.9	5430026-5430718	PF14765	http://pfam.sanger.ac.uk/family?acc=PF14765
X	5416155	5416376	1	KAsynt_C_assoc	100.4	5416155-5416376	PF16197	http://pfam.sanger.ac.uk/family?acc=PF16197
X	5440729	5441864	1	Thioesterase	33	5440729-5440881,5441194-5441379,5441425-5441472,5441521-5441630,5441678-5441762,5441820-5441864	PF00975	http://pfam.sanger.ac.uk/family?acc=PF00975
X	5426335	5426493	1	Acyl_carrier_prot-like	259.8	5426335-5426493	PF00550	http://pfam.sanger.ac.uk/family?acc=PF00550
X	5425818	5426037	1	Acyl_carrier_prot-like	259.8	5425818-5425926,5425976-5426037	PF00550	http://pfam.sanger.ac.uk/family?acc=PF00550
X	5440361	5440597	1	Acyl_carrier_prot-like	259.8	5440361-5440366,5440418-5440597	PF00550	http://pfam.sanger.ac.uk/family?acc=PF00550
X	5417268	5417456	1	Acyl_carrier_prot-like	259.8	5417268-5417456	PF00550	http://pfam.sanger.ac.uk/family?acc=PF00550
X	5421445	5421594	1	Acyl_carrier_prot-like	259.8	5421445-5421594	PF00550	http://pfam.sanger.ac.uk/family?acc=PF00550
X	5428414	5428611	1	Acyl_carrier_prot-like	259.8	5428414-5428611	PF00550	http://pfam.sanger.ac.uk/family?acc=PF00550
X	5437481	5437672	1	Acyl_carrier_prot-like	259.8	5437481-5437672	PF00550	http://pfam.sanger.ac.uk/family?acc=PF00550
X	5415350	5416118	1	Ketoacyl_synth_C	425.3	5415350-5415430,5415830-5415978,5416022-5416118	PF02801	http://pfam.sanger.ac.uk/family?acc=PF02801
X	5434520	5434864	1	Ketoacyl_synth_C	425.3	5434520-5434864	PF02801	http://pfam.sanger.ac.uk/family?acc=PF02801
X	5423286	5423609	1	Ketoacyl_synth_C	425.3	5423286-5423609	PF02801	http://pfam.sanger.ac.uk/family?acc=PF02801
X	5418281	5418674	1	Ketoacyl_synth_C	425.3	5418281-5418395,5418440-5418528,5418579-5418674	PF02801	http://pfam.sanger.ac.uk/family?acc=PF02801
X	5431490	5431810	1	Ketoacyl_synth_C	425.3	5431490-5431810	PF02801	http://pfam.sanger.ac.uk/family?acc=PF02801
X	5428912	5429905	1	Acyl_transferase	181.7	5428912-5429440,5429485-5429686,5429734-5429905	PF00698	http://pfam.sanger.ac.uk/family?acc=PF00698
X	5437727	5438554	1	Condensatn	91.5	5437727-5438554	PF00668	http://pfam.sanger.ac.uk/family?acc=PF00668
X	5435381	5436085	1	Acyl_transferase	181.7	5435381-5436085	PF00698	http://pfam.sanger.ac.uk/family?acc=PF00698
