#>P	WBGene00000123	F36A4.7	F36A4.7	IV	4248188	4257779	1	DNA-directed RNA polymerase II subunit RPB1  [Source:UniProtKB/Swiss-Prot;Acc:P16356]
#>E	F36A4.7.e2,F36A4.7.e3,F36A4.7.e4,F36A4.7.e5,F36A4.7.e6,F36A4.7.e7,F36A4.7.e8,F36A4.7.e9,F36A4.7.e10,F36A4.7.e11,F36A4.7.e12,F36A4.7.e13	1,1,1,1,1,1,1,1,1,1,1,1	4248188-4248271,4248322-4248431,4248529-4248857,4249342-4250062,4250379-4250684,4250991-4251771,4252070-4252483,4252874-4253614,4254069-4255657,4256060-4256267,4256688-4256873,4257681-4257782
IV	4252406	4253347	1	RNA_pol_Rpb1_6	222.5	4252406-4252483,4252874-4253347	PF04992	http://pfam.xfam.org/family/PF04992
IV	4250992	4251498	1	RNA_pol_Rpb1_3	168.7	4250992-4251498	PF04983	http://pfam.xfam.org/family/PF04983
IV	4253600	4254455	1	RNA_pol_Rpb1_7	176.2	4253600-4253614,4254069-4254455	PF04990	http://pfam.xfam.org/family/PF04990
IV	4251577	4252189	1	RNA_pol_Rpb1_4	132.3	4251577-4251771,4252070-4252189	PF05000	http://pfam.xfam.org/family/PF05000
IV	4256085	4256126	1	RNA_pol_II_repeat_euk	43.7	4256085-4256126	PF05001	http://pfam.xfam.org/family/PF05001
IV	4255452	4255493	1	RNA_pol_II_repeat_euk	43.7	4255452-4255493	PF05001	http://pfam.xfam.org/family/PF05001
IV	4255515	4255556	1	RNA_pol_II_repeat_euk	43.7	4255515-4255556	PF05001	http://pfam.xfam.org/family/PF05001
IV	4256772	4256813	1	RNA_pol_II_repeat_euk	43.7	4256772-4256813	PF05001	http://pfam.xfam.org/family/PF05001
IV	4256145	4256186	1	RNA_pol_II_repeat_euk	43.7	4256145-4256186	PF05001	http://pfam.xfam.org/family/PF05001
IV	4255599	4255640	1	RNA_pol_II_repeat_euk	43.7	4255599-4255640	PF05001	http://pfam.xfam.org/family/PF05001
IV	4256796	4256834	1	RNA_pol_II_repeat_euk	43.7	4256796-4256834	PF05001	http://pfam.xfam.org/family/PF05001
IV	4255362	4255400	1	RNA_pol_II_repeat_euk	43.7	4255362-4255400	PF05001	http://pfam.xfam.org/family/PF05001
IV	4256187	4256228	1	RNA_pol_II_repeat_euk	43.7	4256187-4256228	PF05001	http://pfam.xfam.org/family/PF05001
IV	4255239	4255295	1	RNA_pol_II_repeat_euk	43.7	4255239-4255295	PF05001	http://pfam.xfam.org/family/PF05001
IV	4255494	4255535	1	RNA_pol_II_repeat_euk	43.7	4255494-4255535	PF05001	http://pfam.xfam.org/family/PF05001
IV	4257684	4257725	1	RNA_pol_II_repeat_euk	43.7	4257684-4257725	PF05001	http://pfam.xfam.org/family/PF05001
IV	4257726	4257767	1	RNA_pol_II_repeat_euk	43.7	4257726-4257767	PF05001	http://pfam.xfam.org/family/PF05001
IV	4255641	4256084	1	RNA_pol_II_repeat_euk	43.7	4255641-4255657,4256060-4256084	PF05001	http://pfam.xfam.org/family/PF05001
IV	4255320	4255361	1	RNA_pol_II_repeat_euk	43.7	4255320-4255361	PF05001	http://pfam.xfam.org/family/PF05001
IV	4255536	4255577	1	RNA_pol_II_repeat_euk	43.7	4255536-4255577	PF05001	http://pfam.xfam.org/family/PF05001
IV	4255410	4255451	1	RNA_pol_II_repeat_euk	43.7	4255410-4255451	PF05001	http://pfam.xfam.org/family/PF05001
IV	4256229	4256690	1	RNA_pol_II_repeat_euk	43.7	4256229-4256267,4256688-4256690	PF05001	http://pfam.xfam.org/family/PF05001
IV	4255086	4255130	1	RNA_pol_II_repeat_euk	43.7	4255086-4255130	PF05001	http://pfam.xfam.org/family/PF05001
IV	4256739	4256771	1	RNA_pol_II_repeat_euk	43.7	4256739-4256771	PF05001	http://pfam.xfam.org/family/PF05001
IV	4249866	4250679	1	RNA_pol_asu	250.8	4249866-4250062,4250379-4250679	PF00623	http://pfam.xfam.org/family/PF00623
IV	4252208	4254842	1	RNA_pol_Rpb1_5	352.4	4252208-4252483,4252874-4253614,4254069-4254842	PF04998	http://pfam.xfam.org/family/PF04998
IV	4248227	4249862	1	RNA_pol_Rpb1_1	369.8	4248227-4248271,4248322-4248431,4248529-4248857,4249342-4249862	PF04997	http://pfam.xfam.org/family/PF04997
