#>P	WBGene00006759	ZK617.1b.2	ZK617.1b.2	IV	11973654	12010880	-1	Twitchin  [Source:UniProtKB/Swiss-Prot;Acc:Q23551]
#>E	ZK617.1a.2.e31,ZK617.1a.1.e30,ZK617.1a.1.e29,ZK617.1a.1.e28,ZK617.1a.1.e27,ZK617.1a.1.e26,ZK617.1a.1.e25,ZK617.1a.1.e24,ZK617.1a.1.e23,ZK617.1a.1.e22,ZK617.1a.1.e21,ZK617.1a.1.e20,ZK617.1a.1.e19,ZK617.1a.1.e18,ZK617.1a.1.e17,ZK617.1a.1.e16,ZK617.1a.1.e15,ZK617.1a.1.e14,ZK617.1b.1.e16,ZK617.1a.1.e13,ZK617.1b.1.e14,ZK617.1b.1.e13,ZK617.1a.1.e12,ZK617.1a.1.e11,ZK617.1a.1.e10,ZK617.1a.1.e9,ZK617.1a.1.e8,ZK617.1a.1.e7,ZK617.1a.1.e6,ZK617.1a.1.e5,ZK617.1a.1.e4,ZK617.1a.1.e3,ZK617.1a.1.e2,ZK617.1a.1.e1	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	11973651-11973746,11974056-11974153,11974201-11974453,11974513-11976129,11976183-11985796,11985843-11986224,11986277-11986500,11986550-11986834,11986885-11987045,11987093-11988537,11988585-11989621,11989671-11992289,11992344-11992566,11992930-11993095,11993473-11993588,11993881-11994041,11994094-11994178,11994227-11994280,11994770-11995108,11995254-11995328,11995721-11996248,11996307-11996396,11996801-11996863,11997773-11997868,12005262-12005363,12005443-12005579,12005764-12005936,12006615-12006691,12006921-12007290,12007736-12007998,12008052-12008151,12008199-12008419,12009206-12009358,12010827-12010880
IV	11975995	11976815	-1	Prot_kinase_dom	226.7	11975995-11976129,11976183-11976815	PF00069	http://pfam.sanger.ac.uk/family?acc=PF00069
IV	11984952	11985203	-1	FN3_dom	1566.2	11984952-11985203	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11987278	11987508	-1	FN3_dom	1566.2	11987278-11987508	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11983494	11983727	-1	FN3_dom	1566.2	11983494-11983727	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11979654	11979905	-1	FN3_dom	1566.2	11979654-11979905	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11981127	11981381	-1	FN3_dom	1566.2	11981127-11981381	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11983191	11983439	-1	FN3_dom	1566.2	11983191-11983439	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11989083	11989325	-1	FN3_dom	1566.2	11989083-11989325	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11984070	11984324	-1	FN3_dom	1566.2	11984070-11984324	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11981742	11981984	-1	FN3_dom	1566.2	11981742-11981984	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11984376	11984615	-1	FN3_dom	1566.2	11984376-11984615	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11985258	11985494	-1	FN3_dom	1566.2	11985258-11985494	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11990602	11990850	-1	FN3_dom	1566.2	11990602-11990850	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11977014	11977256	-1	FN3_dom	1566.2	11977014-11977256	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11990905	11991138	-1	FN3_dom	1566.2	11990905-11991138	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
IV	11988151	11988393	-1	FN3_dom	1566.2	11988151-11988393	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
