#>P	WBGene00003242	C37C3.6b.2	C37C3.6b.2	V	7827300	7842224	1	Papilin  [Source:UniProtKB/Swiss-Prot;Acc:O76840]
#>E	C37C3.6a.2.e1,C37C3.6a.1.e2,C37C3.6a.1.e3,C37C3.6a.1.e4,C37C3.6a.1.e5,C37C3.6a.1.e6,C37C3.6a.1.e7,C37C3.6a.1.e8,C37C3.6a.1.e9,C37C3.6a.1.e10,C37C3.6b.1.e11,C37C3.6b.1.e12,C37C3.6b.1.e13,C37C3.6b.1.e14,C37C3.6b.1.e15,C37C3.6b.1.e16,C37C3.6b.1.e17,C37C3.6b.1.e18	0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0	7827300-7827395,7827451-7827665,7828167-7828322,7828370-7828521,7828572-7829328,7829453-7829684,7829763-7829884,7829936-7831520,7831588-7832371,7832446-7832658,7832981-7833334,7833825-7833921,7834668-7834796,7834847-7835197,7835280-7835358,7840437-7840528,7840926-7841514,7841727-7842227
V	7828622	7828960	1	ADAM_spacer1	115.8	7828622-7828960	PF05986	http://pfam.sanger.ac.uk/family?acc=PF05986
V	7840479	7841034	1	Kunitz_BPTI	561.1	7840479-7840528,7840926-7841034	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	7833175	7833330	1	Kunitz_BPTI	561.1	7833175-7833330	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	7831467	7831695	1	Kunitz_BPTI	561.1	7831467-7831520,7831588-7831695	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	7841248	7841403	1	Kunitz_BPTI	561.1	7841248-7841403	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	7841065	7841223	1	Kunitz_BPTI	561.1	7841065-7841223	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	7832466	7832621	1	Kunitz_BPTI	561.1	7832466-7832621	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	7831720	7831881	1	Kunitz_BPTI	561.1	7831720-7831881	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	7833004	7833162	1	Kunitz_BPTI	561.1	7833004-7833162	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	7834765	7834967	1	Kunitz_BPTI	561.1	7834765-7834796,7834847-7834967	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	7835145	7840457	1	Kunitz_BPTI	561.1	7835145-7835197,7835280-7835358,7840437-7840457	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	7832080	7832235	1	Kunitz_BPTI	561.1	7832080-7832235	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
V	7830156	7830308	1	TSP1_rpt	55.6	7830156-7830308	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
V	7829174	7829248	1	TSP1_rpt	55.6	7829174-7829248	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
V	7829478	7829600	1	TSP1_rpt	55.6	7829478-7829600	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
V	7827586	7828221	1	TSP1_rpt	55.6	7827586-7827665,7828167-7828221	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
V	7829979	7830140	1	TSP1_rpt	55.6	7829979-7830140	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
V	7828994	7829065	1	TSP1_rpt	55.6	7828994-7829065	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
V	7842105	7842203	1	PLAC	39.5	7842105-7842203	PF08686	http://pfam.sanger.ac.uk/family?acc=PF08686
