#>P	WBGene00001863	F15G9.4d	F15G9.4d	X	9717626	9753566	1	High Incidence of Males (increased X chromosome loss)  [Source:RefSeq peptide;Acc:NP_001129925]
#>E	F15G9.4a.e1,F15G9.4a.e2,F15G9.4a.e3,F15G9.4a.e4,F15G9.4a.e5,F15G9.4a.e6,F15G9.4a.e7,F15G9.4a.e8,F15G9.4a.e9,F15G9.4a.e10,F15G9.4a.e11,F15G9.4a.e12,F15G9.4a.e13,F15G9.4a.e14,F15G9.4a.e15,F15G9.4a.e16,F15G9.4a.e17,F15G9.4a.e18,F15G9.4a.e19,F15G9.4a.e20,F15G9.4a.e21,F15G9.4a.e22,F15G9.4a.e23,F15G9.4a.e24,F15G9.4a.e25,F15G9.4a.e26,F15G9.4a.e27,F15G9.4a.e28,F15G9.4a.e29,F15G9.4a.e30,F15G9.4a.e31,F15G9.4a.e32,F15G9.4a.e33,F15G9.4a.e34,F15G9.4a.e35,F15G9.4a.e36,F15G9.4a.e37,F15G9.4a.e38,F15G9.4a.e39,F15G9.4a.e40,F15G9.4a.e41,F15G9.4a.e42,F15G9.4a.e43,F15G9.4a.e44,F15G9.4d.e45,F15G9.4a.e46,F15G9.4a.e47,F15G9.4a.e48,F15G9.4a.e49,F15G9.4a.e50,F15G9.4a.e51,F15G9.4a.e52,F15G9.4a.e53,F15G9.4a.e54,F15G9.4a.e55,F15G9.4a.e56,F15G9.4a.e57,F15G9.4a.e58,F15G9.4a.e59,F15G9.4a.e60,F15G9.4a.e61,F15G9.4a.e62	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1	9717626-9717878,9718376-9718480,9719726-9720369,9720451-9720556,9720639-9720960,9721113-9721500,9721553-9721724,9721808-9722622,9722778-9722901,9723064-9723287,9723337-9723735,9723913-9724035,9724089-9724871,9725124-9725213,9725265-9725352,9725411-9725595,9725642-9725744,9727241-9727356,9727409-9727517,9727646-9727847,9727934-9728093,9728142-9728231,9728698-9729658,9729827-9730028,9730088-9730467,9730719-9731109,9731387-9731630,9731904-9732221,9732494-9732671,9732718-9732996,9733044-9733156,9740715-9740786,9740835-9740916,9741201-9741280,9742490-9742561,9742606-9742729,9742776-9742927,9742983-9743106,9743163-9743236,9743852-9743982,9744029-9744093,9744235-9744363,9744482-9745702,9745748-9745920,9746077-9746314,9747151-9747288,9747339-9747479,9747611-9748168,9748232-9748663,9748711-9748824,9749280-9749687,9749731-9749871,9749921-9750064,9750110-9750235,9750342-9750790,9750969-9751539,9751815-9751937,9751987-9752172,9752633-9752842,9752888-9753085,9753226-9753324,9753370-9753569
X	9747925	9748158	1	Ig-like_dom	1448	9747925-9748158	PF13895	http://pfam.xfam.org/family/PF13895
X	9749312	9749548	1	Ig_I-set	2139.1	9749312-9749548	PF07679	http://pfam.xfam.org/family/PF07679
X	9721921	9722184	1	Ig_I-set	2139.1	9721921-9722184	PF07679	http://pfam.xfam.org/family/PF07679
X	9741206	9742725	1	Ig_I-set	2139.1	9741206-9741280,9742490-9742561,9742606-9742725	PF07679	http://pfam.xfam.org/family/PF07679
X	9731583	9732098	1	Ig_I-set	2139.1	9731583-9731630,9731904-9732098	PF07679	http://pfam.xfam.org/family/PF07679
X	9721565	9721905	1	Ig_I-set	2139.1	9721565-9721724,9721808-9721905	PF07679	http://pfam.xfam.org/family/PF07679
X	9731024	9731549	1	Ig_I-set	2139.1	9731024-9731109,9731387-9731549	PF07679	http://pfam.xfam.org/family/PF07679
X	9749558	9749867	1	Ig_I-set	2139.1	9749558-9749687,9749731-9749867	PF07679	http://pfam.xfam.org/family/PF07679
X	9748522	9748811	1	Ig_I-set	2139.1	9748522-9748663,9748711-9748811	PF07679	http://pfam.xfam.org/family/PF07679
X	9723162	9723444	1	Ig_I-set	2139.1	9723162-9723287,9723337-9723444	PF07679	http://pfam.xfam.org/family/PF07679
X	9732180	9732667	1	Ig_I-set	2139.1	9732180-9732221,9732494-9732667	PF07679	http://pfam.xfam.org/family/PF07679
X	9727753	9728036	1	Ig_I-set	2139.1	9727753-9727847,9727934-9728036	PF07679	http://pfam.xfam.org/family/PF07679
X	9729136	9729381	1	Ig_I-set	2139.1	9729136-9729381	PF07679	http://pfam.xfam.org/family/PF07679
X	9744901	9745125	1	Ig_I-set	2139.1	9744901-9745125	PF07679	http://pfam.xfam.org/family/PF07679
X	9728088	9728832	1	Ig_I-set	2139.1	9728088-9728093,9728142-9728231,9728698-9728832	PF07679	http://pfam.xfam.org/family/PF07679
X	9724524	9724763	1	Ig_I-set	2139.1	9724524-9724763	PF07679	http://pfam.xfam.org/family/PF07679
X	9744607	9744867	1	Ig_I-set	2139.1	9744607-9744867	PF07679	http://pfam.xfam.org/family/PF07679
X	9745477	9745698	1	Ig_I-set	2139.1	9745477-9745698	PF07679	http://pfam.xfam.org/family/PF07679
X	9722494	9722894	1	Ig_I-set	2139.1	9722494-9722622,9722778-9722894	PF07679	http://pfam.xfam.org/family/PF07679
X	9723721	9724211	1	Ig_I-set	2139.1	9723721-9723735,9723913-9724035,9724089-9724211	PF07679	http://pfam.xfam.org/family/PF07679
X	9728842	9729099	1	Ig_I-set	2139.1	9728842-9729099	PF07679	http://pfam.xfam.org/family/PF07679
X	9743171	9744089	1	Ig_I-set	2139.1	9743171-9743236,9743852-9743982,9744029-9744089	PF07679	http://pfam.xfam.org/family/PF07679
X	9747189	9747475	1	Ig_I-set	2139.1	9747189-9747288,9747339-9747475	PF07679	http://pfam.xfam.org/family/PF07679
X	9725443	9725740	1	Ig_I-set	2139.1	9725443-9725595,9725642-9725740	PF07679	http://pfam.xfam.org/family/PF07679
X	9729412	9729651	1	Ig_I-set	2139.1	9729412-9729651	PF07679	http://pfam.xfam.org/family/PF07679
X	9745180	9745416	1	Ig_I-set	2139.1	9745180-9745416	PF07679	http://pfam.xfam.org/family/PF07679
X	9727264	9727692	1	Ig_I-set	2139.1	9727264-9727356,9727409-9727517,9727646-9727692	PF07679	http://pfam.xfam.org/family/PF07679
X	9747622	9747882	1	Ig_I-set	2139.1	9747622-9747882	PF07679	http://pfam.xfam.org/family/PF07679
X	9733055	9740912	1	Ig_I-set	2139.1	9733055-9733156,9740715-9740786,9740835-9740912	PF07679	http://pfam.xfam.org/family/PF07679
X	9732723	9732992	1	Ig_I-set	2139.1	9732723-9732992	PF07679	http://pfam.xfam.org/family/PF07679
X	9730745	9730987	1	Ig_I-set	2139.1	9730745-9730987	PF07679	http://pfam.xfam.org/family/PF07679
X	9720854	9721221	1	Ig_I-set	2139.1	9720854-9720960,9721113-9721221	PF07679	http://pfam.xfam.org/family/PF07679
X	9721261	9721555	1	Ig_I-set	2139.1	9721261-9721500,9721553-9721555	PF07679	http://pfam.xfam.org/family/PF07679
X	9744240	9744585	1	Ig_I-set	2139.1	9744240-9744363,9744482-9744585	PF07679	http://pfam.xfam.org/family/PF07679
X	9748264	9748500	1	Ig_I-set	2139.1	9748264-9748500	PF07679	http://pfam.xfam.org/family/PF07679
X	9742805	9743099	1	Ig_I-set	2139.1	9742805-9742927,9742983-9743099	PF07679	http://pfam.xfam.org/family/PF07679
X	9729841	9730166	1	Ig_I-set	2139.1	9729841-9730028,9730088-9730166	PF07679	http://pfam.xfam.org/family/PF07679
X	9723478	9723708	1	Ig_I-set	2139.1	9723478-9723708	PF07679	http://pfam.xfam.org/family/PF07679
X	9730209	9730463	1	Ig_I-set	2139.1	9730209-9730463	PF07679	http://pfam.xfam.org/family/PF07679
X	9750557	9750989	1	Ig_I-set	2139.1	9750557-9750790,9750969-9750989	PF07679	http://pfam.xfam.org/family/PF07679
X	9724812	9725348	1	Ig_I-set	2139.1	9724812-9724871,9725124-9725213,9725265-9725348	PF07679	http://pfam.xfam.org/family/PF07679
X	9745777	9746196	1	Ig_I-set	2139.1	9745777-9745920,9746077-9746196	PF07679	http://pfam.xfam.org/family/PF07679
X	9724230	9724487	1	Ig_I-set	2139.1	9724230-9724487	PF07679	http://pfam.xfam.org/family/PF07679
X	9722194	9722460	1	Ig_I-set	2139.1	9722194-9722460	PF07679	http://pfam.xfam.org/family/PF07679
X	9751287	9751535	1	Ig_I-set	2139.1	9751287-9751535	PF07679	http://pfam.xfam.org/family/PF07679
X	9749950	9750231	1	Ig_I-set	2139.1	9749950-9750064,9750110-9750231	PF07679	http://pfam.xfam.org/family/PF07679
X	9752887	9752991	1	EGF-like_Ca-bd_dom	31.7	9752887-9752991	PF07645	http://pfam.xfam.org/family/PF07645
X	9752728	9752820	1	EGF-like_Ca-bd_dom	31.7	9752728-9752820	PF07645	http://pfam.xfam.org/family/PF07645
