#>P	ENSDARG00000038822	ENSDART00000056686	ENSDARP00000056685	2	31233389	31256560	-1	mannose receptor, C type 1b [Source:ZFIN;Acc:ZDB-GENE-070705-13]
#>E	ENSDARE00000783836,ENSDARE00000558984,ENSDARE00000415513,ENSDARE00000415534,ENSDARE00000415536,ENSDARE00000867274,ENSDARE00000889948,ENSDARE00000948575,ENSDARE00000909158,ENSDARE00000943145,ENSDARE00001120528,ENSDARE00000415546,ENSDARE00000415548,ENSDARE00000415550,ENSDARE00000415552,ENSDARE00000415553,ENSDARE00000415555,ENSDARE00000784819,ENSDARE00000415464,ENSDARE00000415560,ENSDARE00000415561,ENSDARE00000415564,ENSDARE00000415568,ENSDARE00000415570,ENSDARE00000415571,ENSDARE00000415576,ENSDARE00000415577,ENSDARE00000415579,ENSDARE00000415580,ENSDARE00000920718,ENSDARE00000950526	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	31233386-31233588,31233786-31233818,31236123-31236308,31236435-31236548,31236634-31236789,31237403-31237568,31238409-31238638,31238738-31238837,31238937-31238978,31239064-31239203,31240445-31240547,31241274-31241416,31242019-31242119,31242199-31242260,31242377-31242543,31242651-31242686,31242776-31242929,31243019-31243091,31244624-31244745,31244833-31245032,31245141-31245289,31246666-31246781,31247312-31247428,31249466-31249623,31249730-31249909,31250535-31250672,31250896-31251009,31252753-31252905,31253059-31253235,31255931-31256314,31256497-31256560
2	31246683	31247380	-1	Chordopox_A33R	23.6	31246683-31246781,31247312-31247380	PF05966	http://pfam.sanger.ac.uk/family?acc=PF05966
2	31253072	31253197	-1	FN_type2_col-bd	51.4	31253072-31253197	PF00040	http://pfam.sanger.ac.uk/family?acc=PF00040
2	31236130	31236676	-1	C-type_lectin	63.7	31236130-31236308,31236435-31236548,31236634-31236676	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	31237413	31238555	-1	C-type_lectin	63.5	31237413-31237568,31238409-31238555	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	31241367	31242475	-1	C-type_lectin	70.9	31241367-31241416,31242019-31242119,31242199-31242260,31242377-31242475	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	31238748	31240526	-1	C-type_lectin	69.2	31238748-31238837,31238937-31238978,31239064-31239203,31240445-31240526	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	31242786	31244721	-1	C-type_lectin	61.7	31242786-31242929,31243019-31243091,31244624-31244721	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	31244938	31246739	-1	C-type_lectin	77.9	31244938-31245032,31245141-31245289,31246666-31246739	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	31247375	31249838	-1	C-type_lectin	85.3	31247375-31247428,31249466-31249623,31249730-31249838	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	31250566	31252843	-1	C-type_lectin	80.8	31250566-31250672,31250896-31251009,31252753-31252843	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	31256067	31256300	-1	Ricin_B_lectin	28.6	31256067-31256300	PF00652	http://pfam.sanger.ac.uk/family?acc=PF00652
