#>P	ENSDARG00000056043	ENSDART00000108598	ENSDARP00000102758	24	43450377	43542734	1	laminin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-060118-1]
#>E	ENSDARE00000564270,ENSDARE00000564258,ENSDARE00000564241,ENSDARE00000564227,ENSDARE00000564214,ENSDARE00000564198,ENSDARE00000564189,ENSDARE00000564173,ENSDARE00000564158,ENSDARE00000564139,ENSDARE00000564124,ENSDARE00000564112,ENSDARE00000564096,ENSDARE00000564080,ENSDARE00000564063,ENSDARE00000564043,ENSDARE00000564022,ENSDARE00000969738,ENSDARE00000960854,ENSDARE00000818702,ENSDARE00000804036,ENSDARE00000870582,ENSDARE00000823793,ENSDARE00000823181,ENSDARE00000908763,ENSDARE00000563880,ENSDARE00000563865,ENSDARE00000563848,ENSDARE00000563838,ENSDARE00000563821,ENSDARE00000900135,ENSDARE00000909139,ENSDARE00000563788,ENSDARE00000563771,ENSDARE00000563756,ENSDARE00000563745,ENSDARE00000563733,ENSDARE00000563721,ENSDARE00000563709,ENSDARE00000563695,ENSDARE00000563682,ENSDARE00000563673,ENSDARE00000951187,ENSDARE00000977128,ENSDARE00000908818,ENSDARE00000901972,ENSDARE00000887602,ENSDARE00000896508,ENSDARE00000891217,ENSDARE00000908046,ENSDARE00000929585,ENSDARE00000980203,ENSDARE00000964800,ENSDARE00000922081,ENSDARE00000948760,ENSDARE00000977244,ENSDARE00000847536,ENSDARE00000779012,ENSDARE00000800935,ENSDARE00000800227,ENSDARE00000835776,ENSDARE00000832417,ENSDARE00000903141	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0	43450377-43450458,43460238-43460408,43463392-43463504,43474069-43474311,43475188-43475367,43476025-43476114,43478702-43478819,43481053-43481231,43481577-43481682,43481761-43481918,43484027-43484167,43484259-43484420,43484793-43484894,43487336-43487550,43487746-43487857,43489387-43489497,43493390-43493517,43495129-43495165,43495275-43495314,43495326-43495541,43497520-43497626,43497746-43497926,43498041-43498177,43498194-43498332,43498434-43498446,43498471-43498627,43500319-43500501,43501702-43501887,43502362-43502489,43505023-43505143,43505630-43505679,43506600-43506629,43506864-43507040,43507364-43507450,43507982-43508175,43510517-43510659,43510873-43510971,43511721-43511832,43512551-43512707,43513196-43513406,43513977-43514093,43514175-43514338,43516365-43516503,43516659-43516746,43516857-43516973,43517239-43517421,43523460-43523614,43523898-43524041,43524963-43525096,43525702-43525849,43527162-43527286,43529457-43529459,43533325-43533379,43534175-43534190,43534658-43534723,43537277-43537284,43537662-43537806,43538716-43538857,43539253-43539367,43539473-43539628,43540191-43540333,43542059-43542238,43542557-43542737
24	43460240	43476060	1	Laminin_N	303.4	43460240-43460408,43463392-43463504,43474069-43474311,43475188-43475367,43476025-43476060	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
24	43476064	43478791	1	EGF_laminin	14.7	43476064-43476114,43478702-43478791	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
24	43481055	43481231	1	EGF_laminin	22.7	43481055-43481231	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
24	43481610	43481843	1	EGF_laminin	31.5	43481610-43481682,43481761-43481843	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
24	43481859	43484104	1	EGF_laminin	27.4	43481859-43481918,43484027-43484104	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
24	43487816	43489410	1	EGF_laminin	15.0	43487816-43487857,43489387-43489410	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
24	43489447	43493479	1	EGF_laminin	37.0	43489447-43489497,43493390-43493479	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
24	43495385	43495537	1	EGF_laminin	34.4	43495385-43495537	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
24	43497522	43497781	1	EGF_laminin	40.7	43497522-43497626,43497746-43497781	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
24	43497788	43498045	1	EGF_laminin	38.2	43497788-43497926,43498041-43498045	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
24	43498043	43498174	1	EGF_laminin	26.0	43498043-43498174	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
24	43507015	43508030	1	EGF_laminin	27.6	43507015-43507040,43507364-43507450,43507982-43508030	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
24	43508037	43508168	1	EGF_laminin	27.3	43508037-43508168	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
24	43523991	43527230	1	Laminin_G	91.2	43523991-43524041,43524963-43525096,43525702-43525849,43527162-43527230	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
24	43534678	43539316	1	Laminin_G	81.7	43534678-43534723,43537277-43537284,43537662-43537806,43538716-43538857,43539253-43539316	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
24	43539560	43542563	1	Laminin_G	57.7	43539560-43539628,43540191-43540333,43542059-43542238,43542557-43542563	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
24	43523988	43527221	1	Laminin_G	78.0	43523988-43524041,43524963-43525096,43525702-43525849,43527162-43527221	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
24	43534678	43539304	1	Laminin_G	83.0	43534678-43534723,43537277-43537284,43537662-43537806,43538716-43538857,43539253-43539304	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
24	43539560	43542236	1	Laminin_G	53.5	43539560-43539628,43540191-43540333,43542059-43542236	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
24	43484388	43487815	1	Laminin_B_type_IV	71.5	43484388-43484420,43484793-43484894,43487336-43487550,43487746-43487815	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
24	43500466	43505101	1	Laminin_B_type_IV	121.1	43500466-43500501,43501702-43501887,43502362-43502489,43505023-43505101	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
24	43517265	43523984	1	Laminin_II	91.2	43517265-43517421,43523460-43523614,43523898-43523984	PF06009	http://pfam.sanger.ac.uk/family?acc=PF06009
24	43510567	43514057	1	Laminin_I	82.7	43510567-43510659,43510873-43510971,43511721-43511832,43512551-43512707,43513196-43513406,43513977-43514057	PF06008	http://pfam.sanger.ac.uk/family?acc=PF06008
