#>P	ENSDARG00000062245	ENSDART00000089774	ENSDARP00000084207	22	24354075	24406069	1	crumbs homolog 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-050208-382]
#>E	ENSDARE00000764679,ENSDARE00000778518,ENSDARE00000655969,ENSDARE00000764670,ENSDARE00000764668,ENSDARE00000764666,ENSDARE00000764665,ENSDARE00000764662,ENSDARE00000764660,ENSDARE00000764655,ENSDARE00000656695,ENSDARE00000656689,ENSDARE00000655838	0,0,0,1,1,1,1,1,1,1,1,1,0	24354075-24354159,24367816-24368412,24373131-24373326,24375251-24375393,24377029-24377211,24380654-24381583,24383375-24383928,24386122-24386287,24386473-24387391,24388650-24388694,24389675-24389797,24389968-24390094,24405854-24406072
22	24368319	24368411	1	EGF-like_Ca-bd_dom	21.2	24368319-24368411	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
22	24386565	24386948	1	Laminin_G	23.6	24386565-24386948	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
22	24386565	24386954	1	Laminin_G	49.8	24386565-24386954	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
22	24381022	24381408	1	Laminin_G	23.8	24381022-24381408	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
22	24383479	24383835	1	Laminin_G	38.8	24383479-24383835	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
22	24383476	24383826	1	Laminin_G	49.6	24383476-24383826	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
22	24381022	24381408	1	Laminin_G	46.5	24381022-24381408	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
22	24381481	24381570	1	EG-like_dom	27.3	24381481-24381570	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
22	24380683	24380781	1	EG-like_dom	23.8	24380683-24380781	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
22	24389990	24390082	1	EG-like_dom	23.9	24389990-24390082	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
22	24387069	24387161	1	EG-like_dom	25.2	24387069-24387161	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
22	24383923	24386208	1	EG-like_dom	28.0	24383923-24383928,24386122-24386208	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
22	24377067	24380655	1	EG-like_dom	21.8	24377067-24377211,24380654-24380655	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
22	24373160	24373249	1	EG-like_dom	26.3	24373160-24373249	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
22	24373274	24375290	1	EG-like_dom	24.4	24373274-24373326,24375251-24375290	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
22	24368328	24373132	1	EG-like_dom	26.3	24368328-24368412,24373131-24373132	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
22	24368214	24368300	1	EG-like_dom	31.7	24368214-24368300	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
