#>P	ENSDARG00000011863	ENSDART00000098461	ENSDARP00000089232	22	41304361	41368747	-1	protein tyrosine kinase 7a [Source:ZFIN;Acc:ZDB-GENE-050522-216]
#>E	ENSDARE00000478271,ENSDARE00000940220,ENSDARE00000311167,ENSDARE00000220146,ENSDARE00000220158,ENSDARE00000220168,ENSDARE00000329556,ENSDARE00000220195,ENSDARE00000326228,ENSDARE00000797562,ENSDARE00000700638,ENSDARE00000700642,ENSDARE00000700646,ENSDARE00000700649,ENSDARE00000700651,ENSDARE00000700654,ENSDARE00000556959,ENSDARE00000556968,ENSDARE00000700680,ENSDARE00001057204	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0	41304358-41304518,41305712-41305890,41306851-41307002,41308064-41308144,41309902-41310131,41310519-41310671,41310754-41310954,41317128-41317255,41317346-41317490,41317627-41317776,41319408-41319527,41320457-41320592,41322785-41322921,41324530-41324796,41327889-41328019,41330300-41330447,41333545-41333729,41334082-41334184,41338344-41338640,41368666-41368747
22	41304388	41310537	-1	Ser-Thr/Tyr_kinase_cat_dom	268.7	41304388-41304518,41305712-41305890,41306851-41307002,41308064-41308144,41309902-41310131,41310519-41310537	PF07714	http://pfam.sanger.ac.uk/family?acc=PF07714
22	41317132	41317482	-1	Ig_I-set	58.4	41317132-41317255,41317346-41317482	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
22	41320461	41322916	-1	Ig_I-set	50.5	41320461-41320592,41322785-41322916	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
22	41324534	41324737	-1	Ig_I-set	37.6	41324534-41324737	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
22	41327932	41330424	-1	Ig_I-set	44.8	41327932-41328019,41330300-41330424	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
22	41333573	41334146	-1	Ig_I-set	50.9	41333573-41333729,41334082-41334146	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
22	41338363	41338614	-1	Ig_I-set	26.2	41338363-41338614	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
22	41317631	41319480	-1	Ig_I-set	38.4	41317631-41317776,41319408-41319480	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
22	41317168	41317476	-1	Ig_V-set	25.0	41317168-41317255,41317346-41317476	PF07686	http://pfam.sanger.ac.uk/family?acc=PF07686
22	41327932	41330418	-1	Ig_V-set	23.9	41327932-41328019,41330300-41330418	PF07686	http://pfam.sanger.ac.uk/family?acc=PF07686
22	41304394	41310537	-1	Prot_kinase_dom	140.0	41304394-41304518,41305712-41305890,41306851-41307002,41308064-41308144,41309902-41310131,41310519-41310537	PF00069	http://pfam.sanger.ac.uk/family?acc=PF00069
22	41317180	41317443	-1	Immunoglobulin	31.7	41317180-41317255,41317346-41317443	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
22	41324579	41324734	-1	Immunoglobulin	25.1	41324579-41324734	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
