#>P	ENSDARG00000010186	ENSDART00000136041	ENSDARP00000113364	24	6246597	6341808	-1	myosin IIIA [Source:ZFIN;Acc:ZDB-GENE-041026-4]
#>E	ENSDARE00000999469,ENSDARE00000558441,ENSDARE00000558447,ENSDARE00000558451,ENSDARE00000558456,ENSDARE00000100942,ENSDARE00000016789,ENSDARE00000103545,ENSDARE00000148343,ENSDARE00000104903,ENSDARE00000135352,ENSDARE00000294247,ENSDARE00000420939,ENSDARE00000420941,ENSDARE00000104446,ENSDARE00000420942,ENSDARE00000420944,ENSDARE00000420945,ENSDARE00000420948,ENSDARE00000289841,ENSDARE00000300843,ENSDARE00000299305,ENSDARE00000297853,ENSDARE00000305725,ENSDARE00000932271,ENSDARE00000302765,ENSDARE00000301314,ENSDARE00000316432,ENSDARE00000420951,ENSDARE00000310784,ENSDARE00000309362,ENSDARE00000073663,ENSDARE00000057288,ENSDARE00000420952,ENSDARE00000160774,ENSDARE00000770936,ENSDARE00000770939	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	6246594-6246708,6246925-6247107,6254335-6254375,6254470-6254561,6257385-6257529,6259469-6260585,6262158-6262281,6262364-6262450,6263360-6263522,6263598-6263709,6266167-6266372,6268502-6268582,6268758-6268829,6273691-6273732,6275724-6275800,6280208-6280337,6282117-6282205,6282996-6283149,6288575-6288722,6289831-6290041,6291594-6291720,6296702-6296816,6296917-6297015,6297438-6297640,6298050-6298133,6298207-6298311,6299670-6299786,6301876-6301975,6302936-6302971,6303167-6303322,6303592-6303657,6309209-6309354,6311632-6311708,6323756-6323855,6323973-6324077,6340237-6340371,6341641-6341808
24	6263511	6301908	-1	Myosin_head_motor_dom	678.8	6263511-6263522,6263598-6263709,6266167-6266372,6268502-6268582,6268758-6268829,6273691-6273732,6275724-6275800,6280208-6280337,6282117-6282205,6282996-6283149,6288575-6288722,6289831-6290041,6291594-6291720,6296702-6296816,6296917-6297015,6297438-6297640,6298050-6298133,6298207-6298311,6299670-6299786,6301876-6301908	PF00063	http://pfam.sanger.ac.uk/family?acc=PF00063
24	6303268	6341742	-1	Ser-Thr/Tyr_kinase_cat_dom	137.9	6303268-6303322,6303592-6303657,6309209-6309354,6311632-6311708,6323756-6323855,6323973-6324077,6340237-6340371,6341641-6341742	PF07714	http://pfam.sanger.ac.uk/family?acc=PF07714
24	6262247	6262379	-1	IQ_motif_EF-hand-BS	20.1	6262247-6262281,6262364-6262379	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
24	6260153	6260212	-1	IQ_motif_EF-hand-BS	18.2	6260153-6260212	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
24	6260396	6260458	-1	IQ_motif_EF-hand-BS	21.1	6260396-6260458	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
24	6262166	6262228	-1	IQ_motif_EF-hand-BS	17.9	6262166-6262228	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
24	6262425	6263384	-1	IQ_motif_EF-hand-BS	19.3	6262425-6262450,6263360-6263384	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
24	6263409	6263462	-1	IQ_motif_EF-hand-BS	13.5	6263409-6263462	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
24	6259715	6259774	-1	IQ_motif_EF-hand-BS	17.3	6259715-6259774	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
24	6259517	6259576	-1	IQ_motif_EF-hand-BS	21.6	6259517-6259576	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
24	6259931	6259990	-1	IQ_motif_EF-hand-BS	18.1	6259931-6259990	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
24	6303259	6341748	-1	Prot_kinase_dom	202.4	6303259-6303322,6303592-6303657,6309209-6309354,6311632-6311708,6323756-6323855,6323973-6324077,6340237-6340371,6341641-6341748	PF00069	http://pfam.sanger.ac.uk/family?acc=PF00069
