#>P	ENSDARG00000052631	ENSDART00000051005	ENSDARP00000051004	5	54728189	54760673	1	thrombospondin 4a [Source:ZFIN;Acc:ZDB-GENE-080215-11]
#>E	ENSDARE00000864780,ENSDARE00000531712,ENSDARE00000531708,ENSDARE00000934848,ENSDARE00000938881,ENSDARE00000976756,ENSDARE00000977885,ENSDARE00000531689,ENSDARE00000531686,ENSDARE00000531683,ENSDARE00000531682,ENSDARE00000531679,ENSDARE00000531675,ENSDARE00000531672,ENSDARE00000161396,ENSDARE00000930362,ENSDARE00000531663,ENSDARE00000364652,ENSDARE00000901632,ENSDARE00000690083,ENSDARE00000364649,ENSDARE00000805791	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	54728189-54728267,54728625-54728822,54730669-54730916,54732185-54732247,54732266-54732302,54732948-54733030,54734356-54734410,54734562-54734731,54737302-54737439,54739327-54739401,54739491-54739670,54741881-54741985,54744088-54744195,54744276-54744435,54745825-54745943,54749213-54749265,54749338-54749519,54751100-54751327,54753499-54753695,54756919-54757091,54757185-54757324,54760633-54760676
5	54751246	54760643	1	Thrombospondin_C	354.9	54751246-54751327,54753499-54753695,54756919-54757091,54757185-54757324,54760633-54760643	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
5	54734720	54737388	1	EGF-like_Ca-bd_dom	24.3	54734720-54734731,54737302-54737388	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
5	54739336	54739550	1	EGF-like_Ca-bd_dom	24.6	54739336-54739401,54739491-54739550	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
5	54732971	54734406	1	Thbs/COMP_coiled-coil	33.4	54732971-54733030,54734356-54734406	PF11598	http://pfam.sanger.ac.uk/family?acc=PF11598
5	54744121	54744159	1	Thrombospondin_3-like_rpt	5.8	54744121-54744159	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	54744160	54744284	1	Thrombospondin_3-like_rpt	12.8	54744160-54744195,54744276-54744284	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	54744309	54744350	1	Thrombospondin_3-like_rpt	9.9	54744309-54744350	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	54744381	54744416	1	Thrombospondin_3-like_rpt	11.2	54744381-54744416	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	54744417	54745853	1	Thrombospondin_3-like_rpt	11.0	54744417-54744435,54745825-54745853	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	54745875	54745913	1	Thrombospondin_3-like_rpt	8.2	54745875-54745913	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	54749216	54749251	1	Thrombospondin_3-like_rpt	8.2	54749216-54749251	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	54749261	54749377	1	Thrombospondin_3-like_rpt	20.0	54749261-54749265,54749338-54749377	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	54749402	54749437	1	Thrombospondin_3-like_rpt	9.1	54749402-54749437	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	54749438	54749482	1	Thrombospondin_3-like_rpt	4.7	54749438-54749482	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	54749507	54751122	1	Thrombospondin_3-like_rpt	9.2	54749507-54749519,54751100-54751122	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	54751129	54751173	1	Thrombospondin_3-like_rpt	9.0	54751129-54751173	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	54739608	54741901	1	EG-like_dom	22.5	54739608-54739670,54741881-54741901	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
