#>P	ENSDARG00000092466	ENSDART00000142392	ENSDARP00000115131	13	36039472	36077378	1	thrombospondin 2a [Source:ZFIN;Acc:ZDB-GENE-020708-2]
#>E	ENSDARE00001021733,ENSDARE00000998031,ENSDARE00000991013,ENSDARE00000988284,ENSDARE00001030233,ENSDARE00001022083,ENSDARE00001011607,ENSDARE00001032635,ENSDARE00000989356,ENSDARE00001037070,ENSDARE00001048111,ENSDARE00001047703,ENSDARE00000998451,ENSDARE00000996081,ENSDARE00001002417,ENSDARE00000990580,ENSDARE00001011290,ENSDARE00001000239,ENSDARE00000988966,ENSDARE00001006822,ENSDARE00001013497	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0	36039472-36039538,36040336-36040889,36043445-36043529,36047163-36047359,36051004-36051144,36051228-36051321,36054098-36054268,36059203-36059379,36059939-36060112,36061870-36061997,36063601-36063753,36065834-36066052,36067173-36067280,36067374-36067533,36068401-36068519,36068602-36068836,36072834-36073061,36073157-36073428,36073900-36073997,36075523-36075662,36077374-36077381
13	36072980	36077378	1	Thrombospondin_C	317.4	36072980-36073061,36073157-36073428,36073900-36073997,36075523-36075662,36077374-36077378	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
13	36054121	36054258	1	Thrombospondin_1_rpt	44.3	36054121-36054258	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
13	36059223	36059375	1	Thrombospondin_1_rpt	59.0	36059223-36059375	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
13	36059953	36060105	1	Thrombospondin_1_rpt	56.5	36059953-36060105	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
13	36067206	36067244	1	Thrombospondin_3-like_rpt	7.9	36067206-36067244	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36067245	36067385	1	Thrombospondin_3-like_rpt	13.0	36067245-36067280,36067374-36067385	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36067410	36067454	1	Thrombospondin_3-like_rpt	12.3	36067410-36067454	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36067479	36067511	1	Thrombospondin_3-like_rpt	10.3	36067479-36067511	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36067518	36068429	1	Thrombospondin_3-like_rpt	10.2	36067518-36067533,36068401-36068429	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36068451	36068498	1	Thrombospondin_3-like_rpt	13.8	36068451-36068498	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36068602	36068640	1	Thrombospondin_3-like_rpt	6.8	36068602-36068640	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36068647	36068694	1	Thrombospondin_3-like_rpt	18.1	36068647-36068694	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36068758	36068799	1	Thrombospondin_3-like_rpt	11.0	36068758-36068799	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36068827	36072859	1	Thrombospondin_3-like_rpt	13.6	36068827-36068836,36072834-36072859	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36072860	36072907	1	Thrombospondin_3-like_rpt	13.8	36072860-36072907	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36051070	36051317	1	VWF_C	49.2	36051070-36051144,36051228-36051317	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
13	36061986	36063708	1	EGF-like_Ca-bd_dom	27.0	36061986-36061997,36063601-36063708	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
