#>P	ENSDARG00000073810	ENSDART00000111772	ENSDARP00000102127	12	32318063	32345489	1	thrombospondin 2b [Source:ZFIN;Acc:ZDB-GENE-100623-1]
#>E	ENSDARE00000851643,ENSDARE00000810701,ENSDARE00000802401,ENSDARE00000841231,ENSDARE00000800548,ENSDARE00000797394,ENSDARE00000777772,ENSDARE00000855815,ENSDARE00000820242,ENSDARE00000778089,ENSDARE00000874080,ENSDARE00000857542,ENSDARE00000834441,ENSDARE00000788472,ENSDARE00000781811,ENSDARE00000810459,ENSDARE00000783278,ENSDARE00000928638,ENSDARE00000815714,ENSDARE00000935987	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	32318063-32318129,32319008-32319564,32319830-32319914,32326005-32326216,32326606-32326840,32328499-32328669,32328753-32328929,32331312-32331485,32331965-32332092,32333975-32334127,32334251-32334469,32336479-32336586,32336694-32336853,32339224-32339342,32339414-32339648,32343328-32343555,32343638-32343909,32344063-32344160,32345262-32345401,32345485-32345492
12	32343474	32345489	1	Thrombospondin_C	320.3	32343474-32343555,32343638-32343909,32344063-32344160,32345262-32345401,32345485-32345489	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
12	32328522	32328659	1	Thrombospondin_1_rpt	44.0	32328522-32328659	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	32328773	32328925	1	Thrombospondin_1_rpt	57.6	32328773-32328925	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	32331326	32331478	1	Thrombospondin_1_rpt	48.6	32331326-32331478	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	32326672	32326836	1	VWF_C	49.7	32326672-32326836	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
12	32336512	32336550	1	Thrombospondin_3-like_rpt	8.2	32336512-32336550	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
12	32336551	32336705	1	Thrombospondin_3-like_rpt	4.4	32336551-32336586,32336694-32336705	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
12	32336730	32336774	1	Thrombospondin_3-like_rpt	5.6	32336730-32336774	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
12	32336796	32336834	1	Thrombospondin_3-like_rpt	11.7	32336796-32336834	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
12	32336838	32339252	1	Thrombospondin_3-like_rpt	10.3	32336838-32336853,32339224-32339252	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
12	32339274	32339321	1	Thrombospondin_3-like_rpt	12.5	32339274-32339321	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
12	32339414	32339452	1	Thrombospondin_3-like_rpt	10.8	32339414-32339452	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
12	32339459	32339506	1	Thrombospondin_3-like_rpt	18.8	32339459-32339506	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
12	32339570	32339611	1	Thrombospondin_3-like_rpt	8.0	32339570-32339611	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
12	32339636	32343341	1	Thrombospondin_3-like_rpt	6.5	32339636-32339648,32343328-32343341	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
12	32343354	32343401	1	Thrombospondin_3-like_rpt	11.0	32343354-32343401	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
12	32332081	32334082	1	EGF-like_Ca-bd_dom	24.1	32332081-32332092,32333975-32334082	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
