#>P	ENSDARG00000020785	ENSDART00000002661	ENSDARP00000006065	20	239967	280438	1	laminin, alpha 4 [Source:ZFIN;Acc:ZDB-GENE-040724-213]
#>E	ENSDARE00000596369,ENSDARE00000596356,ENSDARE00000596348,ENSDARE00000596342,ENSDARE00000030313,ENSDARE00000305935,ENSDARE00000301406,ENSDARE00000041153,ENSDARE00000143328,ENSDARE00000275109,ENSDARE00000270644,ENSDARE00001056475,ENSDARE00000596272,ENSDARE00000596265,ENSDARE00000596260,ENSDARE00000596251,ENSDARE00000596245,ENSDARE00000596238,ENSDARE00000596226,ENSDARE00000095553,ENSDARE00000069668,ENSDARE00000074565,ENSDARE00000157133,ENSDARE00000160018,ENSDARE00000009082,ENSDARE00000013715,ENSDARE00000104363,ENSDARE00000090013,ENSDARE00000115012,ENSDARE00000100678,ENSDARE00000043713,ENSDARE00000757136,ENSDARE00000757132,ENSDARE00000757130,ENSDARE00000757126,ENSDARE00000757122,ENSDARE00000757117,ENSDARE00000352582,ENSDARE00000323355,ENSDARE00000324997	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	239967-240062,242651-242752,242965-243092,246054-246134,246220-246434,246560-246660,247421-247601,249651-249734,250392-250543,250626-250736,251656-251767,251996-252160,252245-252438,253848-253964,254300-254448,254540-254681,255224-255317,257275-257391,258035-258220,259020-259159,259312-259476,260320-260465,261450-261612,261697-261830,264324-264495,266127-266258,266343-266485,266576-266705,268305-268442,268612-268745,269476-269634,271872-272022,272111-272295,272772-272961,274799-274954,275270-275429,276097-276227,276602-276695,279442-279561,280296-280441
20	250448	253955	1	Laminin_I	69.5	250448-250543,250626-250736,251656-251767,251996-252160,252245-252438,253848-253955	PF06008	http://pfam.sanger.ac.uk/family?acc=PF06008
20	258067	259401	1	Laminin_II	88.8	258067-258220,259020-259159,259312-259401	PF06009	http://pfam.sanger.ac.uk/family?acc=PF06009
20	247463	247597	1	EGF_laminin	30.3	247463-247597	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	272794	275332	1	Laminin_G	72.1	272794-272961,274799-274954,275270-275332	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
20	276150	280378	1	Laminin_G	58.4	276150-276227,276602-276695,279442-279561,280296-280378	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
20	242699	243018	1	EGF_laminin	23.6	242699-242752,242965-243018	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	243061	246268	1	EGF_laminin	31.1	243061-243092,246054-246134,246220-246268	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	246275	246430	1	EGF_laminin	34.2	246275-246430	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	246562	247456	1	EGF_laminin	22.9	246562-246660,247421-247456	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	268395	269614	1	Laminin_G	30.7	268395-268442,268612-268745,269476-269614	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
20	259444	261744	1	Laminin_G	32.2	259444-259476,260320-260465,261450-261612,261697-261744	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
20	264448	266636	1	Laminin_G	56.0	264448-264495,266127-266258,266343-266485,266576-266636	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
20	268395	269632	1	Laminin_G	50.0	268395-268442,268612-268745,269476-269632	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
20	272791	275326	1	Laminin_G	93.7	272791-272961,274799-274954,275270-275326	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
20	276144	280369	1	Laminin_G	81.8	276144-276227,276602-276695,279442-279561,280296-280369	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
20	264448	266642	1	Laminin_G	44.6	264448-264495,266127-266258,266343-266485,266576-266642	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
