#>P	ENSDARG00000021137	ENSDART00000008043	ENSDARP00000020853	5	50500040	50722661	1	G protein-coupled receptor 98 [Source:ZFIN;Acc:ZDB-GENE-040624-6]
#>E	ENSDARE00000364815,ENSDARE00000364757,ENSDARE00000364756,ENSDARE00000364755,ENSDARE00000364754,ENSDARE00000364753,ENSDARE00000364752,ENSDARE00000364751,ENSDARE00000692487,ENSDARE00000692486,ENSDARE00000692485,ENSDARE00000692484,ENSDARE00000692483,ENSDARE00000692482,ENSDARE00000692481,ENSDARE00000692480,ENSDARE00000692479,ENSDARE00000692478,ENSDARE00000692477,ENSDARE00000692476,ENSDARE00000692475,ENSDARE00000364795,ENSDARE00000364794,ENSDARE00000364793,ENSDARE00000364792,ENSDARE00000364791,ENSDARE00000055499,ENSDARE00000364790,ENSDARE00000150007,ENSDARE00000154021,ENSDARE00000104799,ENSDARE00000091312,ENSDARE00000102019,ENSDARE00000105659,ENSDARE00000101092,ENSDARE00000009899,ENSDARE00000170093,ENSDARE00000364789,ENSDARE00000101442,ENSDARE00000037596,ENSDARE00000032875,ENSDARE00000029361,ENSDARE00000044364,ENSDARE00000137068,ENSDARE00000142330,ENSDARE00000364788,ENSDARE00000364787,ENSDARE00000077202,ENSDARE00000082475,ENSDARE00000086061,ENSDARE00000070600,ENSDARE00000146813,ENSDARE00000076063,ENSDARE00000018604,ENSDARE00000023977,ENSDARE00000025970,ENSDARE00000364786,ENSDARE00000364785,ENSDARE00000364784,ENSDARE00000364783,ENSDARE00000364782,ENSDARE00000364781,ENSDARE00000364780,ENSDARE00000364779,ENSDARE00000364778,ENSDARE00000364777,ENSDARE00000364776,ENSDARE00000364775,ENSDARE00000364774,ENSDARE00000364773,ENSDARE00000364772,ENSDARE00000364771,ENSDARE00000364770,ENSDARE00000364769,ENSDARE00000364768,ENSDARE00000364767,ENSDARE00000364766,ENSDARE00000364765,ENSDARE00000364764,ENSDARE00000364763,ENSDARE00000364762,ENSDARE00000364761,ENSDARE00000225388,ENSDARE00000225365,ENSDARE00000941761,ENSDARE00000532079,ENSDARE00000692432,ENSDARE00000692431,ENSDARE00000867743	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	50500040-50500225,50504591-50504740,50510951-50511046,50512478-50512582,50512674-50512787,50514402-50514964,50518431-50518701,50523551-50523880,50525575-50525751,50526249-50526472,50531308-50531434,50532658-50532843,50533522-50533702,50533780-50533943,50534036-50534159,50535931-50536191,50537770-50537896,50538757-50538974,50541290-50542030,50547428-50547801,50552588-50552764,50555971-50556151,50556227-50556420,50557752-50557872,50558052-50558135,50559258-50559397,50561876-50562485,50562614-50562829,50563753-50563968,50565654-50565898,50565978-50566159,50567992-50568800,50570400-50570609,50572141-50572271,50572377-50572476,50574583-50574762,50576959-50577122,50577255-50577342,50578467-50578545,50578651-50578789,50579196-50579337,50580874-50581139,50583398-50583573,50584387-50584514,50584592-50584761,50585735-50585881,50586294-50586374,50586470-50586734,50586851-50586973,50589087-50589309,50589405-50589609,50591498-50591644,50591948-50592203,50592439-50592641,50593927-50594103,50595255-50595437,50596850-50597029,50598968-50599132,50599259-50599379,50599752-50599875,50599999-50600137,50602396-50602581,50605467-50605702,50605793-50605941,50606373-50606571,50607899-50608118,50608397-50608633,50608707-50608856,50610400-50610876,50612366-50612509,50613214-50613385,50615336-50615471,50615563-50616401,50617900-50618017,50618135-50618306,50618407-50618649,50621115-50621522,50624304-50624488,50624583-50624835,50625075-50625220,50629018-50629178,50629295-50629395,50671034-50671150,50676555-50676733,50682464-50682621,50701289-50701410,50711904-50712092,50718695-50718869,50722546-50722664
5	50625183	50629108	1	GPS_dom	32.7	50625183-50625220,50629018-50629108	PF01825	http://pfam.sanger.ac.uk/family?acc=PF01825
5	50629297	50711915	1	GPCR_2_secretin-like	44.0	50629297-50629395,50671034-50671150,50676555-50676733,50682464-50682621,50701289-50701410,50711904-50711915	PF00002	http://pfam.sanger.ac.uk/family?acc=PF00002
5	50615624	50615875	1	Calx_beta	52.0	50615624-50615875	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50605881	50607929	1	Calx_beta	54.1	50605881-50605941,50606373-50606571,50607899-50607929	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50602525	50605676	1	Calx_beta	52.4	50602525-50602581,50605467-50605676	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50574672	50577296	1	Calx_beta	29.4	50574672-50574762,50576959-50577122,50577255-50577296	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50563935	50565995	1	Calx_beta	23.4	50563935-50563968,50565654-50565898,50565978-50565995	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50568653	50570476	1	Calx_beta	33.3	50568653-50568800,50570400-50570476	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50562673	50563877	1	Calx_beta	34.3	50562673-50562829,50563753-50563877	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50556280	50557853	1	Calx_beta	45.6	50556280-50556420,50557752-50557853	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50562164	50562445	1	Calx_beta	31.6	50562164-50562445	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50547760	50556036	1	Calx_beta	27.1	50547760-50547801,50552588-50552764,50555971-50556036	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50510993	50514440	1	Calx_beta	27.8	50510993-50511046,50512478-50512582,50512674-50512787,50514402-50514440	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50514501	50514815	1	Calx_beta	25.8	50514501-50514815	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50534144	50536178	1	Calx_beta	33.9	50534144-50534159,50535931-50536178	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50595285	50596924	1	Calx_beta	41.3	50595285-50595437,50596850-50596924	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50589287	50589510	1	Calx_beta	32.9	50589287-50589309,50589405-50589510	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	50578511	50579294	1	Calx_beta	45.3	50578511-50578545,50578651-50578789,50579196-50579294	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
