#>P	ENSDARG00000063635	ENSDART00000149547	ENSDARP00000123742	13	605339	679999	1	neurexin 1b [Source:ZFIN;Acc:ZDB-GENE-070206-3]
#>E	ENSDARE00000702702,ENSDARE00000894306,ENSDARE00000682423,ENSDARE00000968753,ENSDARE00000971179,ENSDARE00000904177,ENSDARE00000937164,ENSDARE00000823662,ENSDARE00000800408,ENSDARE00000820942,ENSDARE00000862726,ENSDARE00000948856,ENSDARE00000949879,ENSDARE00000958230,ENSDARE00000984478,ENSDARE00000683041,ENSDARE00000683035,ENSDARE00000683027,ENSDARE00000683011,ENSDARE00000683016	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0	605339-606059,612188-612217,614369-614670,615964-615987,616640-616801,619727-620168,622551-622934,623000-623203,627398-627424,630437-630559,631849-632230,632786-632976,633902-634075,635386-635505,656695-656876,665217-665388,669332-669409,674389-674696,676606-676684,679680-680002
13	622829	622900	1	EG-like_dom	21.7	622829-622900	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
13	656841	665369	1	Laminin_G	25.5	656841-656876,665217-665369	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
13	623092	631988	1	Laminin_G	35.8	623092-623203,627398-627424,630437-630559,631849-631988	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
13	632148	634014	1	Laminin_G	74.6	632148-632230,632786-632976,633902-634014	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
13	632148	634014	1	Laminin_G	98.4	632148-632230,632786-632976,633902-634014	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
13	656796	674498	1	Laminin_G	64.9	656796-656876,665217-665388,669332-669409,674389-674498	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
13	605510	605908	1	Laminin_G	56.0	605510-605908	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
13	614470	619744	1	Laminin_G	60.0	614470-614670,615964-615987,616640-616801,619727-619744	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
13	619928	622753	1	Laminin_G	73.1	619928-620168,622551-622753	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
13	623092	631982	1	Laminin_G	70.8	623092-623203,627398-627424,630437-630559,631849-631982	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
13	619928	622747	1	Laminin_G	94.3	619928-620168,622551-622747	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
13	605513	605905	1	Laminin_G	72.1	605513-605905	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
13	614470	619741	1	Laminin_G	80.7	614470-614670,615964-615987,616640-616801,619727-619741	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
