#>P	ENSDARG00000024865	ENSDART00000125045	ENSDARP00000108538	10	40116492	40298473	1	Down syndrome cell adhesion molecule a [Source:ZFIN;Acc:ZDB-GENE-050310-7]
#>E	ENSDARE00000786688,ENSDARE00000909471,ENSDARE00000536696,ENSDARE00000414345,ENSDARE00000414344,ENSDARE00000232424,ENSDARE00000073370,ENSDARE00000414341,ENSDARE00000414339,ENSDARE00000915362,ENSDARE00000889410,ENSDARE00000116681,ENSDARE00000262596,ENSDARE00000262584,ENSDARE00000536631,ENSDARE00000262577,ENSDARE00000116649,ENSDARE00000010276,ENSDARE00000361292,ENSDARE00000150681,ENSDARE00000073794,ENSDARE00000051327,ENSDARE00000057996,ENSDARE00000252134,ENSDARE00000252125,ENSDARE00000252114,ENSDARE00000296319,ENSDARE00000281516,ENSDARE00000280107,ENSDARE00000278673,ENSDARE00000303675,ENSDARE00000926112,ENSDARE00000982981	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0	40116492-40116534,40154131-40154448,40158773-40158919,40222284-40222430,40224183-40224461,40226448-40226723,40228568-40228864,40231427-40231702,40231985-40232263,40234690-40234809,40237782-40237961,40259599-40259813,40262759-40262855,40262998-40263126,40265151-40265318,40266211-40266281,40267946-40268186,40268614-40268760,40273498-40273653,40275111-40275244,40277889-40278042,40280901-40281018,40283953-40284113,40287994-40288092,40290685-40290873,40291012-40291302,40291642-40291818,40291980-40292010,40294823-40294938,40295494-40295661,40297337-40297534,40297655-40297957,40298130-40298476
10	40280957	40284085	1	Ig_V-set	22.3	40280957-40281018,40283953-40284085	PF07686	http://pfam.sanger.ac.uk/family?acc=PF07686
10	40226465	40226671	1	Ig_I-set	40.6	40226465-40226671	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
10	40224221	40224457	1	Ig_I-set	53.4	40224221-40224457	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
10	40280957	40284064	1	Immunoglobulin	27.1	40280957-40281018,40283953-40284064	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
10	40234737	40237909	1	Immunoglobulin	26.5	40234737-40234809,40237782-40237909	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
10	40232047	40232211	1	Immunoglobulin	21.9	40232047-40232211	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
10	40231486	40231650	1	Immunoglobulin	24.7	40231486-40231650	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
10	40226495	40226671	1	Immunoglobulin	24.9	40226495-40226671	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
10	40224248	40224412	1	Immunoglobulin	29.9	40224248-40224412	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
10	40288011	40290839	1	Fibronectin_type3	63.4	40288011-40288092,40290685-40290839	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	40291041	40291256	1	Fibronectin_type3	25.3	40291041-40291256	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	40280954	40284109	1	Ig_I-set	47.0	40280954-40281018,40283953-40284109	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
10	40263003	40265287	1	Fibronectin_type3	45.7	40263003-40263126,40265151-40265287	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	40266222	40268155	1	Fibronectin_type3	50.2	40266222-40266281,40267946-40268155	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	40268625	40273622	1	Fibronectin_type3	42.2	40268625-40268760,40273498-40273622	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	40275119	40278011	1	Fibronectin_type3	45.3	40275119-40275244,40277889-40278011	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
10	40259610	40262851	1	Ig_I-set	39.1	40259610-40259813,40262759-40262851	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
10	40231999	40232259	1	Ig_I-set	38.2	40231999-40232259	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
10	40234695	40237951	1	Ig_I-set	45.4	40234695-40234809,40237782-40237951	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
10	40231444	40231698	1	Ig_I-set	33.4	40231444-40231698	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
10	40228576	40228860	1	Ig_I-set	57.1	40228576-40228860	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
