#>P	ENSDARG00000036279	ENSDART00000004277	ENSDARP00000024860	2	35601802	35699026	1	laminin, gamma 1 [Source:ZFIN;Acc:ZDB-GENE-021226-3]
#>E	ENSDARE00000290592,ENSDARE00000379827,ENSDARE00000379825,ENSDARE00000355523,ENSDARE00000143353,ENSDARE00000295638,ENSDARE00000302532,ENSDARE00000313323,ENSDARE00000305440,ENSDARE00000303794,ENSDARE00000307599,ENSDARE00000293493,ENSDARE00000310667,ENSDARE00000309030,ENSDARE00000323783,ENSDARE00000322306,ENSDARE00000315775,ENSDARE00000314288,ENSDARE00000355042,ENSDARE00000353599,ENSDARE00000320842,ENSDARE00000072994,ENSDARE00000046686,ENSDARE00000079308,ENSDARE00000084672,ENSDARE00000087120,ENSDARE00000093731,ENSDARE00000144429	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	35601802-35602171,35660652-35660956,35667458-35667588,35671929-35672095,35675288-35675476,35676529-35676646,35676758-35676856,35680206-35680342,35684501-35684623,35684709-35684898,35685709-35685821,35686681-35686902,35688631-35688819,35689514-35689759,35691279-35691432,35691522-35691664,35692120-35692298,35692382-35692538,35693504-35693709,35693804-35693883,35693973-35694110,35694384-35694528,35694623-35694772,35695319-35695433,35697048-35697247,35697335-35697493,35697585-35697684,35698773-35699029
2	35601901	35667586	1	Laminin_N	333.1	35601901-35602171,35660652-35660956,35667458-35667586	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
2	35671930	35672091	1	EGF_laminin	28.3	35671930-35672091	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	35675290	35675451	1	EGF_laminin	26.8	35675290-35675451	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	35675458	35676635	1	EGF_laminin	40.6	35675458-35675476,35676529-35676635	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	35676762	35680254	1	EGF_laminin	41.6	35676762-35676856,35680206-35680254	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	35686755	35686823	1	EGF_laminin	16.6	35686755-35686823	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	35686860	35688728	1	EGF_laminin	40.0	35686860-35686902,35688631-35688728	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	35688735	35689560	1	EGF_laminin	18.9	35688735-35688819,35689514-35689560	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	35689594	35689743	1	EGF_laminin	32.7	35689594-35689743	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	35691281	35691427	1	EGF_laminin	31.5	35691281-35691427	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	35691523	35691660	1	EGF_laminin	43.0	35691523-35691660	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	35692122	35692259	1	EGF_laminin	29.1	35692122-35692259	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	35684608	35686754	1	Laminin_B_type_IV	121.4	35684608-35684623,35684709-35684898,35685709-35685821,35686681-35686754	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
