#>P	ENSDARG00000053865	ENSDART00000075985	ENSDARP00000070464	11	7028032	7053714	-1	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]
#>E	ENSDARE00000543889,ENSDARE00000543891,ENSDARE00000543894,ENSDARE00000957113,ENSDARE00000899300,ENSDARE00000543908,ENSDARE00000543910,ENSDARE00000543914,ENSDARE00000543918,ENSDARE00000543922,ENSDARE00000752442,ENSDARE00000752446,ENSDARE00000752449,ENSDARE00000920586,ENSDARE00000944800,ENSDARE00000948898,ENSDARE00000916576,ENSDARE00000957422,ENSDARE00000899880	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	7028029-7028084,7030286-7030425,7030957-7031129,7033704-7033900,7033983-7034031,7036417-7036595,7038973-7039166,7039254-7039306,7041502-7041620,7043171-7043330,7045206-7045313,7045411-7045515,7045597-7045749,7047352-7047426,7047514-7047651,7047871-7048019,7048113-7048164,7048408-7048481,7053639-7053714
11	7028074	7036449	-1	Thrombospondin_C	352.5	7028074-7028084,7030286-7030425,7030957-7031129,7033704-7033900,7033983-7034031,7036417-7036449	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
11	7047559	7047882	-1	EGF-like_Ca-bd_dom	28.9	7047559-7047651,7047871-7047882	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
11	7045690	7047417	-1	EGF-like_Ca-bd_dom	29.4	7045690-7045749,7047352-7047417	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
11	7048018	7048476	-1	Thbs/COMP_coiled-coil	44.4	7048018-7048019,7048113-7048164,7048408-7048476	PF11598	http://pfam.sanger.ac.uk/family?acc=PF11598
11	7045447	7045476	-1	Thrombospondin_3-like_rpt	4.4	7045447-7045476	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7045242	7045280	-1	Thrombospondin_3-like_rpt	7.2	7045242-7045280	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7043322	7045241	-1	Thrombospondin_3-like_rpt	11.9	7043322-7043330,7045206-7045241	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7043190	7043228	-1	Thrombospondin_3-like_rpt	5.4	7043190-7043228	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7041592	7043189	-1	Thrombospondin_3-like_rpt	10.2	7041592-7041620,7043171-7043189	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7041532	7041570	-1	Thrombospondin_3-like_rpt	8.3	7041532-7041570	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7039268	7039306	-1	Thrombospondin_3-like_rpt	5.9	7039268-7039306	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7039127	7039261	-1	Thrombospondin_3-like_rpt	18.9	7039127-7039166,7039254-7039261	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7039067	7039102	-1	Thrombospondin_3-like_rpt	12.2	7039067-7039102	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7039034	7039066	-1	Thrombospondin_3-like_rpt	3.9	7039034-7039066	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7036579	7038985	-1	Thrombospondin_3-like_rpt	7.4	7036579-7036595,7038973-7038985	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7036522	7036569	-1	Thrombospondin_3-like_rpt	11.2	7036522-7036569	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
