#>P	ENSDARG00000063430	ENSDART00000092683	ENSDARP00000087115	17	507056	521795	1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]
#>E	ENSDARE00000921999,ENSDARE00000826869,ENSDARE00000864922,ENSDARE00000802303,ENSDARE00000822102,ENSDARE00000800523,ENSDARE00000860885,ENSDARE00000980418,ENSDARE00000678940,ENSDARE00000679125,ENSDARE00000679086,ENSDARE00000908515,ENSDARE00000955631,ENSDARE00000966124	1,1,1,1,1,1,1,1,1,1,1,1,1,1	507056-507077,507625-507798,509017-509193,510756-511057,511735-511887,513039-513257,513414-513521,516684-516843,517642-517760,518366-518600,519833-520060,520468-520739,520819-520916,521654-521798
17	519979	521795	1	Thrombospondin_C	326.7	519979-520060,520468-520739,520819-520916,521654-521795	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
17	507651	507788	1	Thrombospondin_1_rpt	40.3	507651-507788	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
17	509037	509189	1	Thrombospondin_1_rpt	58.2	509037-509189	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
17	510770	510922	1	Thrombospondin_1_rpt	52.3	510770-510922	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
17	513447	513485	1	Thrombospondin_3-like_rpt	13.9	513447-513485	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	513489	516695	1	Thrombospondin_3-like_rpt	10.0	513489-513521,516684-516695	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	516720	516761	1	Thrombospondin_3-like_rpt	6.4	516720-516761	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	516786	516821	1	Thrombospondin_3-like_rpt	11.9	516786-516821	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	516828	517670	1	Thrombospondin_3-like_rpt	17.3	516828-516843,517642-517670	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	517695	517739	1	Thrombospondin_3-like_rpt	13.2	517695-517739	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	518411	518458	1	Thrombospondin_3-like_rpt	18.9	518411-518458	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	518522	518563	1	Thrombospondin_3-like_rpt	10.4	518522-518563	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	518591	519858	1	Thrombospondin_3-like_rpt	14.9	518591-518600,519833-519858	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	519859	519906	1	Thrombospondin_3-like_rpt	5.9	519859-519906	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	511046	511836	1	EGF-like_Ca-bd_dom	27.0	511046-511057,511735-511836	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
