#>P	ENSDARG00000097869	ENSDART00000153665	ENSDARP00000128580	15	30784260	30795593	-1	si:dkey-1m11.6 [Source:ZFIN;Acc:ZDB-GENE-131121-262]
#>E	ENSDARE00001135563,ENSDARE00001144439,ENSDARE00001136617,ENSDARE00001145750,ENSDARE00001143202,ENSDARE00001143422,ENSDARE00001146351,ENSDARE00001137592,ENSDARE00001146725,ENSDARE00001140262	1,1,1,1,1,1,1,1,1,1	30784257-30784489,30786391-30787467,30788492-30788765,30789807-30790027,30790110-30790237,30790318-30790491,30792056-30792141,30792249-30792550,30793068-30793169,30793247-30795593
15	30793362	30793457	-1	EGF-like_Ca-bd_dom	22.8	30793362-30793457	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
15	30793165	30793328	-1	EG-like_dom	25.8	30793165-30793169,30793247-30793328	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
15	30793353	30793445	-1	EG-like_dom	24.8	30793353-30793445	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
15	30787421	30789830	-1	Laminin_G	33.0	30787421-30787467,30788492-30788765,30789807-30789830	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
15	30790368	30792446	-1	Laminin_G	71.5	30790368-30790491,30792056-30792141,30792249-30792446	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
15	30787427	30789875	-1	Laminin_G	63.0	30787427-30787467,30788492-30788765,30789807-30789875	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
15	30790368	30792446	-1	Laminin_G	88.5	30790368-30790491,30792056-30792141,30792249-30792446	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
15	30794226	30794486	-1	Cadherin	53.1	30794226-30794486	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
15	30794532	30794804	-1	Cadherin	63.8	30794532-30794804	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
15	30794895	30795125	-1	Cadherin	40.1	30794895-30795125	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
15	30795168	30795437	-1	Cadherin	61.2	30795168-30795437	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
