#>P	ENSDARG00000060410	ENSDART00000148481	ENSDARP00000124920	13	35858640	35897740	1	thrombospondin 2a [Source:ZFIN;Acc:ZDB-GENE-020708-2]
#>E	ENSDARE00001051716,ENSDARE00001055071,ENSDARE00000619285,ENSDARE00000619271,ENSDARE00000619265,ENSDARE00000619258,ENSDARE00000619246,ENSDARE00000619223,ENSDARE00000619198,ENSDARE00000619172,ENSDARE00000619140,ENSDARE00000619125,ENSDARE00000619099,ENSDARE00000619071,ENSDARE00000619041,ENSDARE00000619015,ENSDARE00001052969,ENSDARE00000967330,ENSDARE00000939171,ENSDARE00001054058,ENSDARE00001052341	0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0	35858640-35858706,35859522-35860075,35862631-35862715,35866617-35866813,35870439-35870579,35870663-35870756,35874622-35874792,35879721-35879897,35880458-35880631,35882249-35882376,35883981-35884133,35886274-35886492,35887613-35887720,35887814-35887973,35888836-35888954,35889037-35889271,35893221-35893448,35893544-35893815,35894270-35894367,35895890-35896029,35897736-35897743
13	35893367	35897740	1	Thrombospondin_C	317.4	35893367-35893448,35893544-35893815,35894270-35894367,35895890-35896029,35897736-35897740	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
13	35874645	35874782	1	Thrombospondin_1_rpt	44.3	35874645-35874782	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
13	35879741	35879893	1	Thrombospondin_1_rpt	59.0	35879741-35879893	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
13	35880472	35880624	1	Thrombospondin_1_rpt	56.5	35880472-35880624	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
13	35887646	35887684	1	Thrombospondin_3-like_rpt	7.9	35887646-35887684	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35887685	35887825	1	Thrombospondin_3-like_rpt	13.0	35887685-35887720,35887814-35887825	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35887850	35887894	1	Thrombospondin_3-like_rpt	12.3	35887850-35887894	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35887919	35887951	1	Thrombospondin_3-like_rpt	10.3	35887919-35887951	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35887958	35888864	1	Thrombospondin_3-like_rpt	10.2	35887958-35887973,35888836-35888864	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35888886	35888933	1	Thrombospondin_3-like_rpt	13.8	35888886-35888933	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35889037	35889075	1	Thrombospondin_3-like_rpt	6.8	35889037-35889075	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35889082	35889129	1	Thrombospondin_3-like_rpt	18.1	35889082-35889129	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35889193	35889234	1	Thrombospondin_3-like_rpt	11.0	35889193-35889234	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35889262	35893246	1	Thrombospondin_3-like_rpt	13.6	35889262-35889271,35893221-35893246	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35893247	35893294	1	Thrombospondin_3-like_rpt	13.8	35893247-35893294	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	35870505	35870752	1	VWF_C	49.2	35870505-35870579,35870663-35870752	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
13	35882365	35884088	1	EGF-like_Ca-bd_dom	27.0	35882365-35882376,35883981-35884088	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
