#>P	ENSDARG00000093572	ENSDART00000145127	ENSDARP00000117247	5	36025661	36160365	1	laminin, gamma 3 [Source:ZFIN;Acc:ZDB-GENE-060531-121]
#>E	ENSDARE00001006427,ENSDARE00000993834,ENSDARE00001036933,ENSDARE00001004047,ENSDARE00000986831,ENSDARE00000991313,ENSDARE00001006085,ENSDARE00001013835,ENSDARE00001008922,ENSDARE00001039550,ENSDARE00001010600,ENSDARE00001012480,ENSDARE00001047645,ENSDARE00000998143,ENSDARE00001013070,ENSDARE00001046567,ENSDARE00000995800,ENSDARE00001022945,ENSDARE00001033875,ENSDARE00000986105,ENSDARE00001037177,ENSDARE00001028641,ENSDARE00001007254,ENSDARE00000991818,ENSDARE00001002669,ENSDARE00001032101,ENSDARE00001031717,ENSDARE00001018840	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	36025661-36026030,36033884-36034188,36067630-36067760,36069156-36069322,36075530-36075718,36078303-36078420,36081705-36081803,36083515-36083651,36084333-36084449,36100978-36101176,36103619-36103722,36114860-36115093,36136776-36136964,36137185-36137436,36139882-36140035,36140494-36140636,36143114-36143292,36145817-36146009,36147373-36147614,36147706-36147782,36147865-36147999,36150404-36150656,36152450-36152593,36153467-36153569,36155250-36155452,36158103-36158246,36158678-36158777,36160118-36160368
5	36025769	36067758	1	Laminin_N	275.2	36025769-36026030,36033884-36034188,36067630-36067758	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
5	36069157	36069303	1	EGF_laminin	21.5	36069157-36069303	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
5	36075532	36075702	1	EGF_laminin	31.4	36075532-36075702	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
5	36075700	36078418	1	EGF_laminin	32.7	36075700-36075718,36078303-36078418	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
5	36081709	36083563	1	EGF_laminin	36.1	36081709-36081803,36083515-36083563	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
5	36114949	36115017	1	EGF_laminin	15.8	36114949-36115017	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
5	36115054	36136873	1	EGF_laminin	36.1	36115054-36115093,36136776-36136873	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
5	36136880	36137231	1	EGF_laminin	13.7	36136880-36136964,36137185-36137231	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
5	36137265	36137432	1	EGF_laminin	34.4	36137265-36137432	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
5	36139884	36140030	1	EGF_laminin	33.6	36139884-36140030	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
5	36140495	36140632	1	EGF_laminin	42.3	36140495-36140632	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
5	36143116	36143262	1	EGF_laminin	27.8	36143116-36143262	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
5	36084434	36114948	1	Laminin_B_type_IV	51.0	36084434-36084449,36100978-36101176,36103619-36103722,36114860-36114948	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
