#>P	ENSDARG00000058259	ENSDART00000128852	ENSDARP00000106129	25	20244191	20354622	1	cadherin EGF LAG seven-pass G-type receptor 1b [Source:ZFIN;Acc:ZDB-GENE-050823-4]
#>E	ENSDARE00000966262,ENSDARE00000890124,ENSDARE00000917237,ENSDARE00000898128,ENSDARE00000949128,ENSDARE00000899012,ENSDARE00000939153,ENSDARE00000929047,ENSDARE00000889132,ENSDARE00000893424,ENSDARE00000980615,ENSDARE00000923593,ENSDARE00000919725,ENSDARE00000968487,ENSDARE00000949885,ENSDARE00000981140,ENSDARE00000952596,ENSDARE00000956399,ENSDARE00000886154,ENSDARE00000962086,ENSDARE00000901455,ENSDARE00000903042,ENSDARE00000788908,ENSDARE00000927934,ENSDARE00000968878,ENSDARE00000823955,ENSDARE00000831339,ENSDARE00000848793,ENSDARE00000793767,ENSDARE00000586814,ENSDARE00000586805,ENSDARE00000586800,ENSDARE00000586793,ENSDARE00000586786,ENSDARE00000843957	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20244191-20247668,20267034-20267672,20276153-20276375,20279477-20279592,20283021-20283109,20290861-20291018,20295127-20295290,20298541-20298666,20305073-20305239,20307246-20307431,20308470-20308583,20308669-20308843,20309051-20309192,20314679-20314799,20318086-20318269,20319422-20319523,20320896-20320990,20321096-20321305,20328582-20328765,20328848-20328985,20329827-20330037,20331955-20332122,20332238-20332364,20335497-20335697,20335786-20335960,20337923-20338035,20338126-20338202,20338290-20338416,20339161-20339286,20339368-20339504,20344094-20344188,20346159-20346302,20348037-20348249,20350104-20350374,20354601-20354625
25	20332088	20332346	1	GPS_dom	53.3	20332088-20332122,20332238-20332346	PF01825	http://pfam.sanger.ac.uk/family?acc=PF01825
25	20305168	20308692	1	Laminin_G	32.1	20305168-20305239,20307246-20307431,20308470-20308583,20308669-20308692	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
25	20318128	20318247	1	EGF_laminin	31.4	20318128-20318247	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
25	20298564	20298656	1	EG-like_dom	25.0	20298564-20298656	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
25	20246816	20247094	1	Cadherin	63.3	20246816-20247094	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
25	20246507	20246776	1	Cadherin	73.1	20246507-20246776	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
25	20246201	20246467	1	Cadherin	60.8	20246201-20246467	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
25	20245886	20246161	1	Cadherin	71.3	20245886-20246161	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
25	20245568	20245843	1	Cadherin	80.2	20245568-20245843	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
25	20244920	20245201	1	Cadherin	72.2	20244920-20245201	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
25	20245244	20245522	1	Cadherin	62.3	20245244-20245522	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
25	20267588	20276160	1	EG-like_dom	29.0	20267588-20267672,20276153-20276160	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
25	20279478	20295253	1	Laminin_G	60.4	20279478-20279592,20283021-20283109,20290861-20291018,20295127-20295253	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
25	20305168	20308683	1	Laminin_G	54.3	20305168-20305239,20307246-20307431,20308470-20308583,20308669-20308683	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
25	20279478	20295241	1	Laminin_G	105.6	20279478-20279592,20283021-20283109,20290861-20291018,20295127-20295241	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
25	20321126	20332012	1	DUF3497	162.7	20321126-20321305,20328582-20328765,20328848-20328985,20329827-20330037,20331955-20332012	PF12003	http://pfam.sanger.ac.uk/family?acc=PF12003
25	20335515	20339172	1	GPCR_2_secretin-like	185.4	20335515-20335697,20335786-20335960,20337923-20338035,20338126-20338202,20338290-20338416,20339161-20339172	PF00002	http://pfam.sanger.ac.uk/family?acc=PF00002
25	20247140	20247394	1	Cadherin	53.7	20247140-20247394	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
