#>P	ENSDARG00000075100	ENSDART00000115280	ENSDARP00000099985	25	2716516	2977696	1	neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]
#>E	ENSDARE00000976551,ENSDARE00000893280,ENSDARE00000945058,ENSDARE00000886382,ENSDARE00000913277,ENSDARE00000961765,ENSDARE00000976605,ENSDARE00000917271,ENSDARE00000935306,ENSDARE00000964225,ENSDARE00000965964,ENSDARE00000956229,ENSDARE00000886186,ENSDARE00000940676,ENSDARE00000966234,ENSDARE00000959998,ENSDARE00000976609,ENSDARE00000942288,ENSDARE00000912121,ENSDARE00000890022,ENSDARE00000968478,ENSDARE00000921774,ENSDARE00000973048,ENSDARE00000926552,ENSDARE00000930847,ENSDARE00000847142,ENSDARE00000828916,ENSDARE00000822554,ENSDARE00000949933	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2716516-2716591,2810293-2810610,2866723-2866998,2867818-2867968,2889284-2889420,2898101-2898255,2901806-2901926,2918581-2918803,2921154-2921308,2928490-2928638,2929025-2929163,2935174-2935223,2939160-2939301,2941287-2941397,2945937-2946131,2947761-2947856,2953140-2953315,2957220-2957358,2959792-2959899,2960930-2961124,2961201-2961233,2963823-2963882,2964219-2964357,2967283-2967491,2972051-2972143,2973833-2973979,2974317-2974568,2975858-2975970,2977616-2977699
25	2963858	2977693	1	Neogenin_C	448.1	2963858-2963882,2964219-2964357,2967283-2967491,2972051-2972143,2973833-2973979,2974317-2974568,2975858-2975970,2977616-2977693	PF06583	http://pfam.sanger.ac.uk/family?acc=PF06583
25	2918673	2921277	1	Fibronectin_type3	51.1	2918673-2918803,2921154-2921277	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
25	2928507	2929123	1	Fibronectin_type3	58.3	2928507-2928638,2929025-2929123	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
25	2935185	2941354	1	Fibronectin_type3	45.5	2935185-2935223,2939160-2939301,2941287-2941354	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
25	2945957	2947819	1	Fibronectin_type3	32.3	2945957-2946131,2947761-2947819	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
25	2953163	2957324	1	Fibronectin_type3	25.7	2953163-2953315,2957220-2957324	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
25	2959800	2961096	1	Fibronectin_type3	50.8	2959800-2959899,2960930-2961096	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
25	2810322	2810603	1	Ig_I-set	24.7	2810322-2810603	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
25	2866728	2866991	1	Ig_I-set	31.5	2866728-2866991	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
25	2867856	2889416	1	Ig_I-set	44.2	2867856-2867968,2889284-2889416	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
25	2898106	2901916	1	Ig_I-set	59.7	2898106-2898255,2901806-2901916	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
25	2867880	2889371	1	Immunoglobulin	34.5	2867880-2867968,2889284-2889371	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
25	2898163	2901868	1	Immunoglobulin	23.7	2898163-2898255,2901806-2901868	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
25	2867847	2889392	1	Ig_V-set	28.1	2867847-2867968,2889284-2889392	PF07686	http://pfam.sanger.ac.uk/family?acc=PF07686
