#>P	ENSDARG00000076919	ENSDART00000113467	ENSDARP00000102130	7	32963256	33093904	-1	immunoglobulin superfamily, DCC subclass, member 4 [Source:ZFIN;Acc:ZDB-GENE-080327-32]
#>E	ENSDARE00000901984,ENSDARE00000979211,ENSDARE00000970182,ENSDARE00000863685,ENSDARE00000797289,ENSDARE00000854676,ENSDARE00000852566,ENSDARE00000862388,ENSDARE00000878005,ENSDARE00000793536,ENSDARE00000842270,ENSDARE00000839421,ENSDARE00000919497,ENSDARE00000923908,ENSDARE00000954233,ENSDARE00000977981,ENSDARE00000926684,ENSDARE00000969595,ENSDARE00000981822,ENSDARE00000979404	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	32963253-32963753,32966619-32966747,32972007-32972244,32978429-32978531,32981144-32981278,32981360-32981527,32983017-32983144,32983573-32983756,32985433-32985531,32986348-32986569,32988341-32988505,32990118-32990255,32992053-32992217,32996788-32997198,33000131-33000283,33004347-33004478,33016165-33016298,33031988-33032147,33041572-33041880,33093838-33093904
7	33016172	33032130	-1	Ig_V-set	29.7	33016172-33016298,33031988-33032130	PF07686	http://pfam.sanger.ac.uk/family?acc=PF07686
7	32996981	32997151	-1	Immunoglobulin	33.3	32996981-32997151	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
7	33016220	33032100	-1	Immunoglobulin	24.4	33016220-33016298,33031988-33032100	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
7	33000186	33004407	-1	Immunoglobulin	22.0	33000186-33000283,33004347-33004407	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
7	32996933	32997190	-1	Ig_I-set	61.9	32996933-32997190	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
7	33000177	33004455	-1	Ig_I-set	31.7	33000177-33000283,33004347-33004455	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
7	33016172	33032139	-1	Ig_I-set	52.6	33016172-33016298,33031988-33032139	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
7	32985473	32986561	-1	Fibronectin_type3	43.2	32985473-32985531,32986348-32986561	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
7	32983051	32983727	-1	Fibronectin_type3	31.8	32983051-32983144,32983573-32983727	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
7	32981181	32981522	-1	Fibronectin_type3	36.4	32981181-32981278,32981360-32981522	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
7	32988378	32990241	-1	Fibronectin_type3	42.8	32988378-32988505,32990118-32990241	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
7	32992084	32996911	-1	Fibronectin_type3	61.0	32992084-32992217,32996788-32996911	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
