#>P	ENSDARG00000079015	ENSDART00000111472	ENSDARP00000099674	15	31158778	31174544	1	breast cancer 2, early onset [Source:ZFIN;Acc:ZDB-GENE-060510-3]
#>E	ENSDARE00000847687,ENSDARE00000821082,ENSDARE00000875174,ENSDARE00000857396,ENSDARE00000861092,ENSDARE00000827591,ENSDARE00000790487,ENSDARE00000829462,ENSDARE00000850348,ENSDARE00000842531,ENSDARE00000820907,ENSDARE00000792597,ENSDARE00000825605,ENSDARE00000824763,ENSDARE00000796879,ENSDARE00000873765,ENSDARE00000833482,ENSDARE00000806191,ENSDARE00000837137,ENSDARE00000784490,ENSDARE00000840477,ENSDARE00000866016,ENSDARE00000862300,ENSDARE00000842970,ENSDARE00000831195,ENSDARE00000819794	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	31158778-31158811,31159435-31159656,31160362-31160434,31160531-31160574,31160763-31160791,31161045-31161156,31162428-31162483,31162605-31162671,31162783-31163478,31163562-31167752,31167839-31167940,31168033-31168102,31168191-31168555,31168665-31168855,31168959-31169146,31169291-31169461,31169537-31169891,31169976-31170131,31170215-31170362,31170455-31170564,31170719-31170920,31171012-31171178,31171287-31171425,31172119-31172372,31172463-31172588,31174191-31174547
15	31170218	31170343	1	Tower	48.1	31170218-31170343	PF09121	http://pfam.sanger.ac.uk/family?acc=PF09121
15	31171323	31172510	1	BRCA2_OB_3	98.6	31171323-31171425,31172119-31172372,31172463-31172510	PF09104	http://pfam.sanger.ac.uk/family?acc=PF09104
15	31169568	31170044	1	BRCA2_OB_1	136.9	31169568-31169891,31169976-31170044	PF09103	http://pfam.sanger.ac.uk/family?acc=PF09103
15	31168664	31169561	1	DNA_recomb/repair_BRCA2_hlx	257.8	31168664-31168855,31168959-31169146,31169291-31169461,31169537-31169561	PF09169	http://pfam.sanger.ac.uk/family?acc=PF09169
15	31167086	31167178	1	BRCA2_repeat	27.2	31167086-31167178	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	31166699	31166779	1	BRCA2_repeat	30.7	31166699-31166779	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	31166948	31167034	1	BRCA2_repeat	32.8	31166948-31167034	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	31166573	31166662	1	BRCA2_repeat	29.2	31166573-31166662	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	31165943	31166029	1	BRCA2_repeat	36.2	31165943-31166029	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	31166129	31166203	1	BRCA2_repeat	24.1	31166129-31166203	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	31166447	31166518	1	BRCA2_repeat	25.4	31166447-31166518	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	31165631	31165708	1	BRCA2_repeat	29.2	31165631-31165708	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
15	31164926	31165003	1	BRCA2_repeat	30.0	31164926-31165003	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
