#>P	ENSDARG00000033029	ENSDART00000153412	ENSDARP00000127250	12	23052975	23103250	1	polycystic kidney disease 1b [Source:ZFIN;Acc:ZDB-GENE-100707-2]
#>E	ENSDARE00001132434,ENSDARE00000962539,ENSDARE00001132565,ENSDARE00001134591,ENSDARE00001133624,ENSDARE00001132293,ENSDARE00001134193,ENSDARE00000531964,ENSDARE00000531961,ENSDARE00000531958,ENSDARE00001131957,ENSDARE00001132054,ENSDARE00000531953,ENSDARE00000531949,ENSDARE00001133445,ENSDARE00001132687,ENSDARE00001134183,ENSDARE00000422768,ENSDARE00000422766,ENSDARE00000422763,ENSDARE00000422759,ENSDARE00000422756,ENSDARE00001132655,ENSDARE00001132897,ENSDARE00001134461,ENSDARE00000531898,ENSDARE00000864522,ENSDARE00000142143,ENSDARE00000095477,ENSDARE00001133414,ENSDARE00001133857,ENSDARE00001132334,ENSDARE00000762691,ENSDARE00000422737,ENSDARE00000422735,ENSDARE00000343393,ENSDARE00000341939,ENSDARE00001134525	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	23052975-23053119,23053205-23053470,23057707-23058387,23060228-23060359,23060979-23061154,23061264-23061394,23063385-23067010,23067108-23067272,23068957-23069091,23069180-23069462,23069556-23069787,23069877-23070021,23071923-23072057,23072321-23072465,23073509-23074105,23075525-23075675,23077642-23077894,23079276-23079471,23079555-23079722,23080738-23080881,23080954-23081164,23081412-23081535,23083874-23084026,23084200-23084264,23084345-23084496,23087656-23087776,23087848-23088014,23089669-23089871,23090876-23091073,23091189-23091343,23092645-23092757,23092858-23092996,23093137-23093253,23095849-23096020,23096122-23096409,23099417-23099551,23099629-23099943,23102504-23103253
12	23066618	23069997	1	PKD/REJ-like	271.9	23066618-23067010,23067108-23067272,23068957-23069091,23069180-23069462,23069556-23069787,23069877-23069997	PF02010	http://pfam.sanger.ac.uk/family?acc=PF02010
12	23060228	23061005	1	PKD_dom	28.2	23060228-23060359,23060979-23061005	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
12	23063480	23063689	1	PKD_dom	40.6	23063480-23063689	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
12	23063771	23063938	1	PKD_dom	32.9	23063771-23063938	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
12	23064005	23064178	1	PKD_dom	28.1	23064005-23064178	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
12	23064530	23064709	1	PKD_dom	49.8	23064530-23064709	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
12	23066315	23066509	1	PKD_dom	29.2	23066315-23066509	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
12	23092715	23099835	1	PKD1_2_channel	162.0	23092715-23092757,23092858-23092996,23093137-23093253,23095849-23096020,23096122-23096409,23099417-23099551,23099629-23099835	PF08016	http://pfam.sanger.ac.uk/family?acc=PF08016
12	23079426	23080841	1	PLAT/LH2_dom	74.9	23079426-23079471,23079555-23079722,23080738-23080841	PF01477	http://pfam.sanger.ac.uk/family?acc=PF01477
12	23077733	23077855	1	GPS_dom	24.6	23077733-23077855	PF01825	http://pfam.sanger.ac.uk/family?acc=PF01825
12	23096134	23099811	1	Ion_trans_dom	24.6	23096134-23096409,23099417-23099551,23099629-23099811	PF00520	http://pfam.sanger.ac.uk/family?acc=PF00520
