#>P	ENSDARG00000010785	ENSDART00000017090	ENSDARP00000012255	20	29065242	29077330	-1	thrombospondin 1b [Source:ZFIN;Acc:ZDB-GENE-020708-1]
#>E	ENSDARE00000963745,ENSDARE00000933923,ENSDARE00000958237,ENSDARE00000465159,ENSDARE00000274619,ENSDARE00000287951,ENSDARE00000948741,ENSDARE00000285309,ENSDARE00000465167,ENSDARE00000011588,ENSDARE00000067925,ENSDARE00000465170,ENSDARE00000945998,ENSDARE00000465171,ENSDARE00000322974,ENSDARE00000325035,ENSDARE00000320337,ENSDARE00000321802,ENSDARE00000343282,ENSDARE00000338580,ENSDARE00000983230	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	29065239-29065383,29066243-29066340,29066643-29066914,29067255-29067482,29067575-29067809,29069590-29069708,29070552-29070711,29071130-29071237,29071333-29071551,29071630-29071782,29072216-29072343,29072433-29072606,29072685-29072861,29072946-29073119,29074394-29074490,29074933-29075058,29075144-29075253,29075341-29075427,29075829-29075904,29075986-29076545,29077258-29077330
20	29065242	29067336	-1	Thrombospondin_C	330.3	29065242-29065383,29066243-29066340,29066643-29066914,29067255-29067336	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
20	29072956	29073093	-1	Thrombospondin_1_rpt	43.7	29072956-29073093	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
20	29072689	29072841	-1	Thrombospondin_1_rpt	56.1	29072689-29072841	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
20	29072440	29072592	-1	Thrombospondin_1_rpt	55.0	29072440-29072592	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
20	29074401	29075007	-1	VWF_C	46.2	29074401-29074490,29074933-29075007	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
20	29071166	29071204	-1	Thrombospondin_3-like_rpt	13.4	29071166-29071204	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
20	29070700	29071165	-1	Thrombospondin_3-like_rpt	4.6	29070700-29070711,29071130-29071165	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
20	29070631	29070675	-1	Thrombospondin_3-like_rpt	4.3	29070631-29070675	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
20	29070574	29070609	-1	Thrombospondin_3-like_rpt	11.4	29070574-29070609	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
20	29069680	29070567	-1	Thrombospondin_3-like_rpt	16.0	29069680-29069708,29070552-29070567	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
20	29069611	29069658	-1	Thrombospondin_3-like_rpt	12.5	29069611-29069658	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
20	29067717	29067764	-1	Thrombospondin_3-like_rpt	18.3	29067717-29067764	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
20	29067612	29067653	-1	Thrombospondin_3-like_rpt	11.9	29067612-29067653	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
20	29067457	29067584	-1	Thrombospondin_3-like_rpt	14.3	29067457-29067482,29067575-29067584	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
20	29067409	29067456	-1	Thrombospondin_3-like_rpt	6.0	29067409-29067456	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
20	29071681	29072227	-1	EGF-like_Ca-bd_dom	24.4	29071681-29071782,29072216-29072227	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
