4	51451821	51454215	B30.2/SPRY	18.324	+	51451821	51454215	83,88,95	3	4,46,523	0,1167,1871	PS50188	http://www.expasy.ch/prosite/PS50188
4	51445335	51445739	NACHT_NTPase	13.622	+	51445335	51445739	83,88,95	1	404	0	PS50837	http://www.expasy.ch/prosite/PS50837
4	51454033	51454107	Butyrophylin	543.0	+	51454033	51454107	83,88,95	1	74	0	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
4	51454129	51454185	Butyrophylin	120.0	+	51454129	51454185	83,88,95	1	56	0	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
4	51453895	51453936	Butyrophylin	216.0	+	51453895	51453936	83,88,95	1	41	0	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
4	51453742	51453795	Butyrophylin	231.0	+	51453742	51453795	83,88,95	1	53	0	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
4	51448233	51448316	Leu-rich_rpt_RNase_inh_sub-typ	40.5	+	51448233	51448316	83,88,95	1	83	0	SM00368	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00368
4	51453691	51453744	Butyrophylin	329.0	+	51453691	51453744	83,88,95	1	53	0	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
4	51449327	51451712	Leu-rich_rpt_RNase_inh_sub-typ	20.3	+	51449327	51451712	83,88,95	2	22,60	0,2325	SM00368	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00368
4	51449240	51449323	Leu-rich_rpt_RNase_inh_sub-typ	40.5	+	51449240	51449323	83,88,95	1	83	0	SM00368	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00368
4	51453850	51454206	SPla/RYanodine_receptor_subgr	55.2	+	51453850	51454206	83,88,95	1	356	0	SM00449	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00449
4	51448320	51449236	Leu-rich_rpt_RNase_inh_sub-typ	16.1	+	51448320	51449236	83,88,95	2	22,60	0,856	SM00368	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00368
4	51453853	51454209	SPRY_rcpt	40.5	+	51453853	51454209	83,88,95	1	356	0	PF00622	http://pfam.sanger.ac.uk/family?acc=PF00622
4	51448242	51448304	Leu-rich_rpt	10.0	+	51448242	51448304	83,88,95	1	62	0	PF00560	http://pfam.sanger.ac.uk/family?acc=PF00560
4	51449249	51449311	Leu-rich_rpt	10.0	+	51449249	51449311	83,88,95	1	62	0	PF00560	http://pfam.sanger.ac.uk/family?acc=PF00560
4	51453694	51453852	PRY	74.5	+	51453694	51453852	83,88,95	1	158	0	SM00589	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00589
4	51451716	51451799	Leu-rich_rpt_RNase_inh_sub-typ	27.0	+	51451716	51451799	83,88,95	1	83	0	SM00368	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00368
4	51453013	51454215	ConA-like_lec_gl_sf	0.0	+	51453013	51454215	83,88,95	2	21,523	0,679	SSF49899	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF49899
