22	41470749	41472964	Rabaptin_Rab5-bd_dom	212.8	-	41470749	41472964	83,88,95	4	2192,-230,-69,2010	0,1707,754,205	PF09311	http://pfam.sanger.ac.uk/family?acc=PF09311
22	41467504	41467599	TPR_1	30.9	-	41467504	41467599	83,88,95	1	95	0	PF00515	http://pfam.sanger.ac.uk/family?acc=PF00515
22	41464755	41466863	TPR_1	23.0	-	41464755	41466863	83,88,95	2	2088,2040	0,68	PF00515	http://pfam.sanger.ac.uk/family?acc=PF00515
22	41472343	41472396	Kinesin_light	834.0	-	41472343	41472396	83,88,95	1	53	0	PR00381	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00381&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00381
22	41470836	41470895	Kinesin_light	966.0	-	41470836	41470895	83,88,95	1	59	0	PR00381	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00381&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00381
22	41470773	41470829	Kinesin_light	936.0	-	41470773	41470829	83,88,95	1	56	0	PR00381	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00381&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00381
22	41467558	41469209	Kinesin_light	814.0	-	41467558	41469209	83,88,95	2	1643,1607	0,44	PR00381	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00381&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00381
22	41466933	41466995	Kinesin_light	1018.0	-	41466933	41466995	83,88,95	1	62	0	PR00381	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00381&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00381
22	41464806	41466890	Kinesin_light	1007.0	-	41464806	41466890	83,88,95	2	2037,2067	0,17	PR00381	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00381&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00381
22	41467014	41467599	TPR_repeat	34.4	-	41467014	41467599	83,88,95	2	487,583	0,2	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
22	41469222	41470748	TPR_repeat	19.8	-	41469222	41470748	83,88,95	2	1492,1460	0,66	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
22	41464743	41466863	TPR_repeat	26.9	-	41464743	41466863	83,88,95	2	2100,2040	0,80	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
22	41466888	41466989	TPR_repeat	20.1	-	41466888	41466989	83,88,95	1	101	0	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
22	41457367	41457468	TPR_repeat	6.5	-	41457367	41457468	83,88,95	1	101	0	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
22	41469222	41470748	TPR_repeat	8.318999999999999	-	41469222	41470748	83,88,95	2	1492,1460	0,66	PS50005	http://www.expasy.ch/prosite/PS50005
22	41467014	41467599	TPR_repeat	8.26	-	41467014	41467599	83,88,95	2	487,583	0,2	PS50005	http://www.expasy.ch/prosite/PS50005
22	41464743	41470874	TPR-contain_dom	19.198	-	41464743	41470874	83,88,95	5	5971,-87,-101,-173,6051	0,4545,2859,2273,80	PS50293	http://www.expasy.ch/prosite/PS50293
