14	4308439	4316321	Pept_C14_caspase	129.8	-	4308439	4316321	83,88,95	5	7843,-128,-175,-114,7662	0,4496,4291,1696,220	PF00656	http://pfam.sanger.ac.uk/family?acc=PF00656
14	4308616	4308651	Pept_C14A_p45_core	421.0	-	4308616	4308651	83,88,95	1	35	0	PR00376	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00376&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00376
14	4308436	4308465	Pept_C14A_p45_core	250.0	-	4308436	4308465	83,88,95	1	29	0	PR00376	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00376&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00376
14	4310121	4312596	Pept_C14A_p45_core	744.0	-	4310121	4312596	83,88,95	2	2434,2461	0,14	PR00376	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00376&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00376
14	4312672	4312698	Pept_C14A_p45_core	311.0	-	4312672	4312698	83,88,95	1	26	0	PR00376	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00376&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00376
14	4312868	4312924	Pept_C14A_p45_core	346.0	-	4312868	4312924	83,88,95	1	56	0	PR00376	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00376&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00376
14	4312814	4312870	Pept_C14A_p45_core	259.0	-	4312814	4312870	83,88,95	1	56	0	PR00376	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00376&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00376
14	4316292	4316333	Pept_C14A_p45_core	326.0	-	4316292	4316333	83,88,95	1	41	0	PR00376	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00376&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00376
14	4308433	4316354	Pept_C14A_p45_core	385.4	-	4308433	4316354	83,88,95	5	7849,-128,-175,-114,7695	0,4502,4297,1702,226	SM00115	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00115
14	4308433	4310078	Pept_C14_p10	39.173	-	4308433	4310078	83,88,95	2	1588,1419	0,226	PS50207	http://www.expasy.ch/prosite/PS50207
14	4310118	4316333	Pept_C14_ICE_p20	48.027	-	4310118	4316333	83,88,95	4	6164,-128,-175,6198	0,2817,2612,17	PS50208	http://www.expasy.ch/prosite/PS50208
