8	32259801	32264369	BTB_POZ	84.7	-	32259801	32264369	83,88,95	3	4514,-101,4429	0,3832,139	PF00651	http://pfam.sanger.ac.uk/family?acc=PF00651
8	32259140	32259211	Znf_C2H2-like	26.1	-	32259140	32259211	83,88,95	1	71	0	SM00355	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00355
8	32255237	32255305	Znf_C2H2-like	20.9	-	32255237	32255305	83,88,95	1	68	0	SM00355	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00355
8	32255321	32258820	Znf_C2H2-like	27.1	-	32255321	32258820	83,88,95	2	3488,3443	0,56	SM00355	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00355
8	32258866	32258928	Znf_C2H2-like	8.5	-	32258866	32258928	83,88,95	1	62	0	SM00355	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00355
8	32259029	32259097	Znf_C2H2-like	22.1	-	32259029	32259097	83,88,95	1	68	0	SM00355	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00355
8	32258929	32259097	Znf_C2H2	14.065999999999999	-	32258929	32259097	83,88,95	2	96,158	0,10	PS50157	http://www.expasy.ch/prosite/PS50157
8	32259125	32259211	Znf_C2H2	11.177	-	32259125	32259211	83,88,95	1	86	0	PS50157	http://www.expasy.ch/prosite/PS50157
8	32259218	32259301	Znf_C2H2	11.489	-	32259218	32259301	83,88,95	1	83	0	PS50157	http://www.expasy.ch/prosite/PS50157
8	32259873	32264339	BTB/POZ-like	18.534000000000002	-	32259873	32264339	83,88,95	3	4442,-101,4399	0,3760,67	PS50097	http://www.expasy.ch/prosite/PS50097
8	32259683	32264339	BTB/POZ-like	92.6	-	32259683	32264339	83,88,95	4	4632,-101,-144,4641	0,3950,257,15	SM00225	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00225
8	32259233	32259301	Znf_C2H2-like	23.8	-	32259233	32259301	83,88,95	1	68	0	SM00355	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00355
8	32255306	32258820	Znf_C2H2	13.464	-	32255306	32258820	83,88,95	2	3503,3443	0,71	PS50157	http://www.expasy.ch/prosite/PS50157
8	32258836	32258928	Znf_C2H2	9.681000000000001	-	32258836	32258928	83,88,95	1	92	0	PS50157	http://www.expasy.ch/prosite/PS50157
8	32259807	32264423	BTB/POZ_fold	0.0	-	32259807	32264423	83,88,95	3	4508,-101,4483	0,3826,133	SSF54695	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF54695
