6	6977095	6980943	Hint_dom	225.3	-	6977095	6980943	83,88,95	2	3845,3220	0,628	PF01079	http://pfam.sanger.ac.uk/family?acc=PF01079
6	6980950	6998609	Hedgehog_signaling_dom	330.0	-	6980950	6998609	83,88,95	2	17429,17408	0,251	PF01085	http://pfam.sanger.ac.uk/family?acc=PF01085
6	6977260	6977304	Hedgehog	597.0	-	6977260	6977304	83,88,95	1	44	0	PR00632	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00632&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00632
6	6981100	6981153	Hedgehog	1049.0	-	6981100	6981153	83,88,95	1	53	0	PR00632	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00632&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00632
6	6981157	6998390	Hedgehog	858.0	-	6981157	6998390	83,88,95	2	17222,17189	0,44	PR00632	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00632&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00632
6	6980956	6981021	Hedgehog	1097.0	-	6980956	6981021	83,88,95	1	65	0	PR00632	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00632&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00632
6	6977683	6980955	Hedgehog	815.0	-	6977683	6980955	83,88,95	2	3257,3232	0,40	PR00632	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00632&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00632
6	6977452	6977484	Hedgehog	327.0	-	6977452	6977484	83,88,95	1	32	0	PR00632	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00632&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00632
6	6981025	6981093	Hedgehog	1099.0	-	6981025	6981093	83,88,95	1	68	0	PR00632	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00632&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00632
6	6977095	6977145	Hedgehog	544.0	-	6977095	6977145	83,88,95	1	50	0	PR00632	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00632&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00632
6	6977185	6977256	Hedgehog	759.0	-	6977185	6977256	83,88,95	1	71	0	PR00632	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00632&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00632
6	6977356	6977700	Hint_dom_N	114.8	-	6977356	6977700	83,88,95	1	344	0	SM00306	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00306
6	6977224	6977358	Hint_dom_C	42.0	-	6977224	6977358	83,88,95	1	134	0	SM00305	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00305
6	6977458	6977694	Intein_splice_site	10.565999999999999	-	6977458	6977694	83,88,95	1	236	0	PS50817	http://www.expasy.ch/prosite/PS50817
6	6977704	6998567	Hedgehog_sig/DD-Pept_Zn-bd_dom	0.0	-	6977704	6998567	83,88,95	3	20675,-261,20844	0,3497,19	SSF55166	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF55166
6	6977068	6998678	Hedgehog	989.3	-	6977068	6998678	83,88,95	3	21311,-261,20955	0,4133,655	PIRSF009400	None
