10	36146640	36172739	Tyr_kinase_cat_dom	85.7	-	36146640	36172739	83,88,95	6	25993,-291,-148,-49,-158,26083	0,11058,5270,5040,2570,16	SM00219	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00219
10	36141676	36141765	Ankyrin_rpt	21.8	-	36141676	36141765	83,88,95	1	89	0	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
10	36141574	36141666	Ankyrin_rpt	17.5	-	36141574	36141666	83,88,95	1	92	0	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
10	36141175	36141264	Ankyrin_rpt	33.6	-	36141175	36141264	83,88,95	1	89	0	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
10	36141076	36141165	Ankyrin_rpt	23.1	-	36141076	36141165	83,88,95	1	89	0	SM00248	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00248
10	36146631	36172751	Prot_kinase_dom	34.321999999999996	-	36146631	36172751	83,88,95	6	26002,-291,-148,-49,-158,26095	0,11067,5279,5049,2579,25	PS50011	http://www.expasy.ch/prosite/PS50011
10	36140785	36141765	Ankyrin_rpt-contain_dom	98.476	-	36140785	36141765	83,88,95	1	980	0	PS50297	http://www.expasy.ch/prosite/PS50297
10	36140785	36140865	Ankyrin_rpt	11.434000000000001	-	36140785	36140865	83,88,95	1	80	0	PS50088	http://www.expasy.ch/prosite/PS50088
10	36141667	36141765	Ankyrin_rpt	8.977	-	36141667	36141765	83,88,95	1	98	0	PS50088	http://www.expasy.ch/prosite/PS50088
10	36141466	36141564	Ankyrin_rpt	13.09	-	36141466	36141564	83,88,95	1	98	0	PS50088	http://www.expasy.ch/prosite/PS50088
10	36141367	36141465	Ankyrin_rpt	14.239	-	36141367	36141465	83,88,95	1	98	0	PS50088	http://www.expasy.ch/prosite/PS50088
10	36141166	36141264	Ankyrin_rpt	14.292	-	36141166	36141264	83,88,95	1	98	0	PS50088	http://www.expasy.ch/prosite/PS50088
10	36141265	36141366	Ankyrin_rpt	9.164	-	36141265	36141366	83,88,95	1	101	0	PS50088	http://www.expasy.ch/prosite/PS50088
10	36141067	36141165	Ankyrin_rpt	10.74	-	36141067	36141165	83,88,95	1	98	0	PS50088	http://www.expasy.ch/prosite/PS50088
10	36140968	36141066	Ankyrin_rpt	13.597999999999999	-	36140968	36141066	83,88,95	1	98	0	PS50088	http://www.expasy.ch/prosite/PS50088
10	36140869	36140967	Ankyrin_rpt	9.377	-	36140869	36140967	83,88,95	1	98	0	PS50088	http://www.expasy.ch/prosite/PS50088
10	36141514	36141561	Ankyrin_rpt	239.0	-	36141514	36141561	83,88,95	1	47	0	PR01415	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01415&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01415
10	36141373	36141417	Ankyrin_rpt	298.0	-	36141373	36141417	83,88,95	1	44	0	PR01415	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01415&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01415
10	36157554	36157595	Ser-Thr/Tyr_kinase_cat_dom	256.0	-	36157554	36157595	83,88,95	1	41	0	PR00109	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00109&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00109
