9	11878490	11902784	Integrin_alpha-2	406.9	-	11878490	11902784	83,88,95	13	24188,-55,-154,-137,-67,-147,-92,-79,-80,-105,-158,-119,24259	0,21816,18145,17444,14133,13954,10259,10034,7064,4333,4140,3398,35	PF08441	http://pfam.sanger.ac.uk/family?acc=PF08441
9	11908628	11910251	FG-GAP	20.8	-	11908628	11910251	83,88,95	2	1578,1580	0,43	PF01839	http://pfam.sanger.ac.uk/family?acc=PF01839
9	11904390	11907966	FG-GAP	31.3	-	11904390	11907966	83,88,95	2	3536,3489	0,87	PF01839	http://pfam.sanger.ac.uk/family?acc=PF01839
9	11874724	11877251	Integrin_alpha_C_CS	19.2	-	11874724	11877251	83,88,95	2	2525,2489	0,38	PF00357	http://pfam.sanger.ac.uk/family?acc=PF00357
9	11910225	11910466	Integrin_alpha	405.0	-	11910225	11910466	83,88,95	2	229,216	0,25	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
9	11908637	11908672	Integrin_alpha	243.0	-	11908637	11908672	83,88,95	1	35	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
9	11907925	11908469	Integrin_alpha	662.0	-	11907925	11908469	83,88,95	2	536,491	0,53	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
9	11903973	11904326	Integrin_alpha	781.0	-	11903973	11904326	83,88,95	2	299,334	0,19	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
9	11903674	11903852	Integrin_alpha	743.0	-	11903674	11903852	83,88,95	2	127,165	0,13	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
9	11902743	11903658	Integrin_alpha	411.0	-	11902743	11903658	83,88,95	2	899,873	0,42	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
9	11895875	11895916	Integrin_alpha	339.0	-	11895875	11895916	83,88,95	1	41	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
9	11874745	11877290	Integrin_alpha	672.0	-	11874745	11877290	83,88,95	2	2504,2528	0,17	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
9	11928737	11930891	Int_alpha_beta-p	50.7	-	11928737	11930891	83,88,95	2	2102,2022	0,132	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
9	11902731	11903864	Int_alpha_beta-p	43.2	-	11902731	11903864	83,88,95	3	1070,-45,1079	0,956,54	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
9	11903886	11904335	Int_alpha_beta-p	47.6	-	11903886	11904335	83,88,95	2	386,343	0,106	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
9	11904351	11907978	Int_alpha_beta-p	57.5	-	11904351	11907978	83,88,95	2	3575,3501	0,126	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
9	11908470	11910469	Int_alpha_beta-p	43.8	-	11908470	11910469	83,88,95	4	1984,-44,-43,1952	0,1780,201,47	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
