22	5652148	5662347	IF	362.8	+	5652148	5662347	83,88,95	7	56,208,60,95,164,125,221	0,3068,5128,5628,7445,7765,9978	PF00038	http://pfam.sanger.ac.uk/family?acc=PF00038
22	5652157	5652183	Keratin_II	375.0	+	5652157	5652183	83,88,95	1	26	0	PR01276	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01276&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01276
22	5655249	5655287	Keratin_II	343.0	+	5655249	5655287	83,88,95	1	38	0	PR01276	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01276&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01276
22	5655384	5655425	Keratin_II	470.0	+	5655384	5655425	83,88,95	1	41	0	PR01276	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01276&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01276
22	5657277	5657336	Keratin_II	734.0	+	5657277	5657336	83,88,95	1	59	0	PR01276	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01276&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01276
22	5659925	5659978	Keratin_II	343.0	+	5659925	5659978	83,88,95	1	53	0	PR01276	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01276&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01276
22	5662165	5662212	Keratin_II	400.0	+	5662165	5662212	83,88,95	1	47	0	PR01276	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01276&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01276
22	5655393	5657285	Keratin_I	237.0	+	5655393	5657285	83,88,95	2	31,9	0,1883	PR01248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01248
22	5657307	5657817	Keratin_I	326.0	+	5657307	5657817	83,88,95	2	29,41	0,469	PR01248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01248
22	5659632	5659694	Keratin_I	250.0	+	5659632	5659694	83,88,95	1	62	0	PR01248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01248
22	5660003	5662137	Keratin_I	140.0	+	5660003	5662137	83,88,95	2	35,11	0,2123	PR01248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01248
22	5662168	5662248	Keratin_I	163.0	+	5662168	5662248	83,88,95	1	80	0	PR01248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01248
22	5659752	5662290	Prefoldin	0.0	+	5659752	5662290	83,88,95	3	5,125,164	0,161,2374	SSF46579	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF46579
