20	23639043	23644002	PKS/FAS_KR	-28.9	-	23639043	23644002	83,88,95	5	4821,-120,-133,-134,4943	0,4747,4246,235,16	SM00822	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00822
20	23639046	23639171	ADH_insect	168.0	-	23639046	23639171	83,88,95	2	98,112	0,13	PR01167	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01167&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01167
20	23639184	23639240	ADH_insect	506.0	-	23639184	23639240	83,88,95	1	56	0	PR01167	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01167&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01167
20	23639256	23643177	ADH_insect	385.0	-	23639256	23643177	83,88,95	2	3900,3899	0,22	PR01167	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01167&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01167
20	23639037	23639192	DHB_DH	514.0	-	23639037	23639192	83,88,95	2	107,133	0,22	PR01397	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01397&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01397
20	23643268	23643701	DHB_DH	199.0	-	23643268	23643701	83,88,95	2	402,412	0,21	PR01397	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01397&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01397
20	23643931	23643984	DHB_DH	395.0	-	23643931	23643984	83,88,95	1	53	0	PR01397	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01397&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01397
20	23639178	23639237	DH_sc/Rdtase_SDR	449.0	-	23639178	23639237	83,88,95	1	59	0	PR00080	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00080&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00080
20	23639271	23643174	DH_sc/Rdtase_SDR	269.0	-	23639271	23643174	83,88,95	2	3885,3896	0,7	PR00080	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00080&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00080
20	23643675	23643710	DH_sc/Rdtase_SDR	268.0	-	23643675	23643710	83,88,95	1	35	0	PR00080	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00080&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00080
20	23638938	23639000	Glc/ribitol_DH	386.0	-	23638938	23639000	83,88,95	1	62	0	PR00081	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00081&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00081
20	23643946	23643999	Glc/ribitol_DH	371.0	-	23643946	23643999	83,88,95	1	53	0	PR00081	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00081&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00081
20	23643675	23643710	Glc/ribitol_DH	247.0	-	23643675	23643710	83,88,95	1	35	0	PR00081	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00081&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00081
20	23639265	23643192	Glc/ribitol_DH	215.0	-	23639265	23643192	83,88,95	2	3891,3914	0,13	PR00081	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00081&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00081
20	23639178	23639237	Glc/ribitol_DH	430.0	-	23639178	23639237	83,88,95	1	59	0	PR00081	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00081&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00081
20	23639037	23639174	Glc/ribitol_DH	402.0	-	23639037	23639174	83,88,95	2	107,115	0,22	PR00081	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00081&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00081
20	23639184	23643993	PKS_KR	66.8	-	23639184	23643993	83,88,95	4	4680,-120,-133,4715	0,4606,4105,94	PF08659	http://pfam.sanger.ac.uk/family?acc=PF08659
20	23639181	23643996	DH_sc/Rdtase_SDR	129.1	-	23639181	23643996	83,88,95	4	4683,-120,-133,4718	0,4609,4108,97	PF00106	http://pfam.sanger.ac.uk/family?acc=PF00106
