7	62872827	62886967	GPCR_Rhodpsn_7TM	46.028999999999996	-	62872827	62886967	83,88,95	4	13948,-258,-127,13794	0,8335,2681,346	PS50262	http://www.expasy.ch/prosite/PS50262
7	62886938	62887012	GPCR_Rhodpsn	321.0	-	62886938	62887012	83,88,95	1	74	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
7	62886848	62886913	GPCR_Rhodpsn	378.0	-	62886848	62886913	83,88,95	1	65	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
7	62881098	62886778	GPCR_Rhodpsn	304.0	-	62881098	62886778	83,88,95	2	5677,5616	0,64	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
7	62880993	62881058	GPCR_Rhodpsn	245.0	-	62880993	62881058	83,88,95	1	65	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
7	62875436	62875507	GPCR_Rhodpsn	194.0	-	62875436	62875507	83,88,95	1	71	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
7	62872932	62873006	GPCR_Rhodpsn	466.0	-	62872932	62873006	83,88,95	1	74	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
7	62872803	62872883	GPCR_Rhodpsn	515.0	-	62872803	62872883	83,88,95	1	80	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
7	62886809	62886859	Cholcskin_rcpt	819.0	-	62886809	62886859	83,88,95	1	50	0	PR01822	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01822&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01822
7	62881053	62881097	Cholcskin_rcpt	689.0	-	62881053	62881097	83,88,95	1	44	0	PR01822	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01822&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01822
7	62875406	62875450	Cholcskin_rcpt	561.0	-	62875406	62875450	83,88,95	1	44	0	PR01822	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01822&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01822
7	62873115	62873144	Cholcskin_rcpt	377.0	-	62873115	62873144	83,88,95	1	29	0	PR01822	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01822&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01822
7	62872995	62873030	Cholcskin_rcpt	488.0	-	62872995	62873030	83,88,95	1	35	0	PR01822	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01822&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01822
7	62872926	62872955	Cholcskin_rcpt	400.0	-	62872926	62872955	83,88,95	1	29	0	PR01822	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01822&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01822
7	62872875	62872928	Cholcskin_rcpt	517.0	-	62872875	62872928	83,88,95	1	53	0	PR01822	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01822&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01822
7	62886803	62886850	Gastrin_rcpt	560.0	-	62886803	62886850	83,88,95	1	47	0	PR00527	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00527&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00527
