25	19405510	19410377	GPCR_Rhodpsn_7TM	33.21	-	19405510	19410377	83,88,95	3	4663,-340,4664	0,3203,203	PS50262	http://www.expasy.ch/prosite/PS50262
25	19405510	19410374	GPCR_Rhodpsn	142.9	-	19405510	19410374	83,88,95	3	4663,-340,4661	0,3203,203	PF00001	http://pfam.sanger.ac.uk/family?acc=PF00001
25	19410348	19410422	GPCR_Rhodpsn	200.0	-	19410348	19410422	83,88,95	1	74	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
25	19410258	19410323	GPCR_Rhodpsn	234.0	-	19410258	19410323	83,88,95	1	65	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
25	19408658	19410185	GPCR_Rhodpsn	238.0	-	19408658	19410185	83,88,95	2	1515,1472	0,55	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
25	19408556	19408621	GPCR_Rhodpsn	140.0	-	19408556	19408621	83,88,95	1	65	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
25	19408400	19408471	GPCR_Rhodpsn	309.0	-	19408400	19408471	83,88,95	1	71	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
25	19405606	19405680	GPCR_Rhodpsn	499.0	-	19405606	19405680	83,88,95	1	74	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
25	19405100	19405566	GPCR_Rhodpsn	366.0	-	19405100	19405566	83,88,95	2	392,461	0,5	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
25	19408517	19408555	Opsin	460.0	-	19408517	19408555	83,88,95	1	38	0	PR00238	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00238&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00238
25	19405537	19405575	Opsin	315.0	-	19405537	19405575	83,88,95	1	38	0	PR00238	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00238&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00238
25	19410342	19410380	Prostanoid_rcpt	177.0	-	19410342	19410380	83,88,95	1	38	0	PR01788	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01788&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01788
25	19410276	19410326	Prostanoid_rcpt	162.0	-	19410276	19410326	83,88,95	1	50	0	PR01788	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01788&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01788
25	19408712	19410212	Prostanoid_rcpt	204.0	-	19408712	19410212	83,88,95	2	1461,1499	0,1	PR01788	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01788&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01788
25	19408511	19408564	Prostanoid_rcpt	187.0	-	19408511	19408564	83,88,95	1	53	0	PR01788	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01788&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01788
25	19405636	19405671	Prostanoid_rcpt	170.0	-	19405636	19405671	83,88,95	1	35	0	PR01788	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01788&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01788
