5	37076226	37079719	FBPase_class-1/SBPase	446.9	+	37076226	37079719	83,88,95	7	133,162,92,140,137,119,176	0,944,2316,2501,2765,3100,3317	PF00316	http://pfam.sanger.ac.uk/family?acc=PF00316
5	37076295	37077188	FBPtase	440.0	+	37076295	37077188	83,88,95	2	64,18	0,875	PR00115	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00115&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00115
5	37077216	37077296	FBPtase	497.0	+	37077216	37077296	83,88,95	1	80	0	PR00115	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00115&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00115
5	37078757	37078828	FBPtase	645.0	+	37078757	37078828	83,88,95	1	71	0	PR00115	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00115&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00115
5	37078850	37079044	FBPtase	470.0	+	37078850	37079044	83,88,95	2	17,53	0,141	PR00115	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00115&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00115
5	37079051	37079331	FBPtase	368.0	+	37079051	37079331	83,88,95	2	77,5	0,275	PR00115	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00115&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00115
5	37079639	37079716	FBPtase	560.0	+	37079639	37079716	83,88,95	1	77	0	PR00115	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00115&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00115
5	37077210	37077257	SBPase	145.0	+	37077210	37077257	83,88,95	1	47	0	PR01958	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01958&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01958
5	37078760	37078816	SBPase	264.0	+	37078760	37078816	83,88,95	1	56	0	PR01958	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01958&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01958
5	37079347	37079409	SBPase	276.0	+	37079347	37079409	83,88,95	1	62	0	PR01958	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01958&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01958
5	37079630	37079704	SBPase	269.0	+	37079630	37079704	83,88,95	1	74	0	PR01958	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01958&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01958
