5	21583708	21589727	Ion_trans_dom	31.7	-	21583708	21589727	83,88,95	4	5982,-165,-66,5769	0,3768,408,250	PF00520	http://pfam.sanger.ac.uk/family?acc=PF00520
5	21601826	21601915	Ankyrin_rpt	22.7	-	21601826	21601915	83,88,95	1	89	0	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
5	21592623	21592676	TRPV1-4_channel	549.0	-	21592623	21592676	83,88,95	1	53	0	PR01768	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01768&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01768
5	21583870	21583950	TRPV4_channel	414.0	-	21583870	21583950	83,88,95	1	80	0	PR01769	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01769&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01769
5	21587380	21587448	TRPV4_channel	921.0	-	21587380	21587448	83,88,95	1	68	0	PR01769	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01769&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01769
5	21607032	21612250	TRPV1-4_channel	1111.0	-	21607032	21612250	83,88,95	2	5191,5163	0,55	PR01768	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01768&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01768
5	21606963	21607028	TRPV1-4_channel	701.0	-	21606963	21607028	83,88,95	1	65	0	PR01768	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01768&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01768
5	21601832	21601888	TRPV1-4_channel	671.0	-	21601832	21601888	83,88,95	1	56	0	PR01768	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01768&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01768
5	21592458	21592517	TRPV4_channel	786.0	-	21592458	21592517	83,88,95	1	59	0	PR01769	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01769&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01769
5	21616333	21616404	TRPV4_channel	771.0	-	21616333	21616404	83,88,95	1	71	0	PR01769	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01769&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01769
5	21581561	21581620	TRPV1-4_channel	902.0	-	21581561	21581620	83,88,95	1	59	0	PR01768	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01768&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01768
