16	56319527	56328517	De-COase2_N	178.5	-	56319527	56328517	83,88,95	6	8853,-172,-137,-81,-74,8898	0,8717,5964,3466,3238,92	PF02784	http://pfam.sanger.ac.uk/family?acc=PF02784
16	56316902	56319517	De-COase2_C	53.1	-	56316902	56319517	83,88,95	3	2552,-118,2478	0,347,137	PF00278	http://pfam.sanger.ac.uk/family?acc=PF00278
16	56328470	56328544	Orn_de-COase	443.0	-	56328470	56328544	83,88,95	1	74	0	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
16	56328383	56328466	Orn_de-COase	763.0	-	56328383	56328466	83,88,95	1	83	0	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
16	56328125	56328199	Orn_de-COase	434.0	-	56328125	56328199	83,88,95	1	74	0	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
16	56325461	56328109	Orn_de-COase	430.0	-	56325461	56328109	83,88,95	2	2611,2618	0,30	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
16	56317161	56317202	Orn_de-COase	317.0	-	56317161	56317202	83,88,95	1	41	0	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
16	56316974	56317006	Orn_de-COase	363.0	-	56316974	56317006	83,88,95	1	32	0	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
16	56316905	56316946	Orn_de-COase	472.0	-	56316905	56316946	83,88,95	1	41	0	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
16	56328404	56328460	Orn/DAP/Arg_de-COase	372.0	-	56328404	56328460	83,88,95	1	56	0	PR01179	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01179&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01179
16	56328227	56328400	Orn/DAP/Arg_de-COase	203.0	-	56328227	56328400	83,88,95	2	153,156	0,17	PR01179	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01179&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01179
16	56322975	56325376	Orn/DAP/Arg_de-COase	178.0	-	56322975	56325376	83,88,95	2	2379,2383	0,18	PR01179	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01179&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01179
16	56319500	56319559	Orn/DAP/Arg_de-COase	429.0	-	56319500	56319559	83,88,95	1	59	0	PR01179	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01179&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01179
16	56312446	56322711	Ala_racemase/Decarboxylase_C	0.0	-	56312446	56322711	83,88,95	5	10245,-165,-118,-214,10232	0,7173,4803,4593,33	SSF50621	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF50621
