23	10281173	10283778	IF	384.0	-	10281173	10283778	83,88,95	7	2549,-208,-60,-95,-164,-125,2384	0,1425,1112,951,760,506,221	PF00038	http://pfam.sanger.ac.uk/family?acc=PF00038
23	10283743	10283769	Keratin_II	387.0	-	10283743	10283769	83,88,95	1	26	0	PR01276	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01276&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01276
23	10282527	10282565	Keratin_II	426.0	-	10282527	10282565	83,88,95	1	38	0	PR01276	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01276&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01276
23	10282389	10282430	Keratin_II	492.0	-	10282389	10282430	83,88,95	1	41	0	PR01276	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01276&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01276
23	10282225	10282284	Keratin_II	784.0	-	10282225	10282284	83,88,95	1	59	0	PR01276	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01276&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01276
23	10281614	10281667	Keratin_II	576.0	-	10281614	10281667	83,88,95	1	53	0	PR01276	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01276&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01276
23	10281308	10281355	Keratin_II	453.0	-	10281308	10281355	83,88,95	1	47	0	PR01276	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01276&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01276
23	10282276	10282421	Keratin_I	256.0	-	10282276	10282421	83,88,95	2	114,136	0,9	PR01248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01248
23	10282083	10282254	Keratin_I	266.0	-	10282083	10282254	83,88,95	2	142,130	0,41	PR01248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01248
23	10281832	10281894	Keratin_I	351.0	-	10281832	10281894	83,88,95	1	62	0	PR01248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01248
23	10281383	10281589	Keratin_I	160.0	-	10281383	10281589	83,88,95	2	171,195	0,11	PR01248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01248
23	10281569	10282094	Prefoldin	0.0	-	10281569	10282094	83,88,95	3	460,-164,415	0,364,110	SSF46579	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF46579
