6	3492553	3501736	Kelch-like_gigaxonin	556.8	+	3492553	3501736	83,88,95	6	1106,157,107,185,146,99	0,4582,4815,6330,7539,9084	PIRSF037037	None
6	3497408	3498949	Kelch_1	48.5	+	3497408	3498949	83,88,95	2	67,66	0,1475	PF01344	http://pfam.sanger.ac.uk/family?acc=PF01344
6	3498956	3500113	Kelch_1	22.7	+	3498956	3500113	83,88,95	2	112,21	0,1136	PF01344	http://pfam.sanger.ac.uk/family?acc=PF01344
6	3492616	3492942	BTB_POZ	101.7	+	3492616	3492942	83,88,95	1	326	0	PF00651	http://pfam.sanger.ac.uk/family?acc=PF00651
6	3492958	3493266	BACK	96.1	+	3492958	3493266	83,88,95	1	308	0	PF07707	http://pfam.sanger.ac.uk/family?acc=PF07707
6	3492646	3492945	BTB/POZ-like	116.9	+	3492646	3492945	83,88,95	1	299	0	SM00225	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00225
6	3492958	3493266	BACK	127.5	+	3492958	3493266	83,88,95	1	308	0	SM00875	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00875
6	3493585	3497218	Kelch_1	10.0	+	3493585	3497218	83,88,95	2	74,83	0,3550	SM00612	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00612
6	3497219	3497440	Kelch_1	22.1	+	3497219	3497440	83,88,95	2	73,72	0,149	SM00612	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00612
6	3497441	3498991	Kelch_1	43.0	+	3497441	3498991	83,88,95	2	34,108	0,1442	SM00612	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00612
6	3498992	3500155	Kelch_1	16.1	+	3498992	3500155	83,88,95	2	76,63	0,1100	SM00612	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00612
6	3492646	3492855	BTB/POZ-like	19.734	+	3492646	3492855	83,88,95	1	209	0	PS50097	http://www.expasy.ch/prosite/PS50097
6	3492562	3492945	BTB/POZ_fold	0.0	+	3492562	3492945	83,88,95	1	383	0	SSF54695	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF54695
