8	7554670	7591146	EnaC	439.9	+	7554670	7591146	83,88,95	9	167,147,127,150,56,153,91,79,56	0,23753,23983,24189,29089,29307,32957,34241,36420	TIGR00859	http://www.ebi.ac.uk/interpro/signature/TIGR00859
8	7539419	7588984	Na+channel_ASC	603.5	+	7539419	7588984	83,88,95	9	301,195,147,127,150,56,153,91,73	0,15223,39004,39234,39440,44340,44558,48208,49492	PF00858	http://pfam.sanger.ac.uk/family?acc=PF00858
8	7539485	7539538	Na+channel_ASC	159.0	+	7539485	7539538	83,88,95	1	53	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
8	7539605	7539655	Na+channel_ASC	466.0	+	7539605	7539655	83,88,95	1	50	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
8	7554823	7578458	Na+channel_ASC	312.0	+	7554823	7578458	83,88,95	2	14,35	0,23600	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
8	7578673	7578729	Na+channel_ASC	474.0	+	7578673	7578729	83,88,95	1	56	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
8	7578763	7578891	Na+channel_ASC	235.0	+	7578763	7578891	83,88,95	2	17,32	0,96	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
8	7584012	7584074	Na+channel_ASC	384.0	+	7584012	7584074	83,88,95	1	62	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
8	7584129	7587687	Na+channel_ASC	401.0	+	7584129	7587687	83,88,95	2	1,60	0,3498	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
8	7587685	7588921	Na+channel_ASC	228.0	+	7587685	7588921	83,88,95	2	33,10	0,1226	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
8	7588919	7588969	Na+channel_ASC	483.0	+	7588919	7588969	83,88,95	1	50	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
