2	20719501	20719739	EG-like_dom	14.520999999999999	-	20719501	20719739	83,88,95	2	235,126	0,112	PS50026	http://www.expasy.ch/prosite/PS50026
2	20712779	20719296	Haem_peroxidase_animal	85.537	-	20712779	20719296	83,88,95	7	6496,-304,-83,-246,-286,-147,6126	0,6384,5997,4379,3318,2539,391	PS50292	http://www.expasy.ch/prosite/PS50292
2	20719036	20719071	Haem_peroxidase_animal_subgr	190.0	-	20719036	20719071	83,88,95	1	35	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
2	20717015	20717071	Haem_peroxidase_animal_subgr	419.0	-	20717015	20717071	83,88,95	1	56	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
2	20716955	20717017	Haem_peroxidase_animal_subgr	828.0	-	20716955	20717017	83,88,95	1	62	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
2	20716048	20716942	Haem_peroxidase_animal_subgr	695.0	-	20716048	20716942	83,88,95	2	864,845	0,49	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
2	20715937	20715969	Haem_peroxidase_animal_subgr	315.0	-	20715937	20715969	83,88,95	1	32	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
2	20713106	20713168	Haem_peroxidase_animal_subgr	479.0	-	20713106	20713168	83,88,95	1	62	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
2	20712899	20712943	Haem_peroxidase_animal_subgr	345.0	-	20712899	20712943	83,88,95	1	44	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
2	20712899	20719083	Haem_peroxidase_animal	300.1	-	20712899	20719083	83,88,95	6	5960,-83,-246,-286,-147,5913	0,5877,4259,3198,2419,271	PF03098	http://pfam.sanger.ac.uk/family?acc=PF03098
2	20712866	20719413	Haem_peroxidase	0.0	-	20712866	20719413	83,88,95	7	6409,-304,-83,-246,-286,-147,6243	0,6297,5910,4292,3231,2452,304	SSF48113	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF48113
