16	9603181	9639722	PyrdxlP-dep_de-COase	541.8	-	9603181	9639722	83,88,95	12	36443,-113,-119,-134,-143,-66,-94,-67,-76,-19,-98,36440	0,32240,29385,21055,20644,17538,15148,11026,7985,4596,2518,101	PF00282	http://pfam.sanger.ac.uk/family?acc=PF00282
16	9639750	9639809	Aromatic_deC	656.0	-	9639750	9639809	83,88,95	1	59	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
16	9639687	9639740	Aromatic_deC	607.0	-	9639687	9639740	83,88,95	1	53	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
16	9639627	9639686	Aromatic_deC	621.0	-	9639627	9639686	83,88,95	1	59	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
16	9635347	9635406	Aromatic_deC	680.0	-	9635347	9635406	83,88,95	1	59	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
16	9632546	9635343	Aromatic_deC	728.0	-	9632546	9635343	83,88,95	2	2762,2777	0,20	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
16	9632486	9632545	Aromatic_deC	763.0	-	9632486	9632545	83,88,95	1	59	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
16	9624192	9632464	Aromatic_deC	711.0	-	9624192	9632464	83,88,95	2	8255,8228	0,44	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
16	9605640	9605687	Aromatic_deC	696.0	-	9605640	9605687	83,88,95	1	47	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
16	9603181	9603240	Aromatic_deC	624.0	-	9603181	9603240	83,88,95	1	59	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
16	9601453	9639824	PyrdxlP-dep_Trfase	0.0	-	9601453	9639824	83,88,95	13	38171,-113,-119,-134,-143,-66,-94,-67,-76,-19,-98,-101,38186	0,33968,31113,22783,22372,19266,16876,12754,9713,6324,4246,1829,185	SSF53383	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF53383
