2	9676726	9691151	Abl-interactor_HHR_dom	113.4	-	9676726	9691151	83,88,95	3	14417,-176,14411	0,9536,14	PF07815	http://pfam.sanger.ac.uk/family?acc=PF07815
2	9657994	9658128	SH3_domain	57.7	-	9657994	9658128	83,88,95	1	134	0	PF00018	http://pfam.sanger.ac.uk/family?acc=PF00018
2	9657979	9658131	SH3_2	35.9	-	9657979	9658131	83,88,95	1	152	0	PF07653	http://pfam.sanger.ac.uk/family?acc=PF07653
2	9658105	9660171	SH3_domain	226.0	-	9658105	9660171	83,88,95	2	2060,2041	0,25	PR00452	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00452&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00452
2	9658048	9658095	SH3_domain	296.0	-	9658048	9658095	83,88,95	1	47	0	PR00452	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00452&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00452
2	9658015	9658044	SH3_domain	183.0	-	9658015	9658044	83,88,95	1	29	0	PR00452	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00452&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00452
2	9657973	9658011	SH3_domain	303.0	-	9657973	9658011	83,88,95	1	38	0	PR00452	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00452&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00452
2	9657970	9660171	SH3_domain	92.2	-	9657970	9660171	83,88,95	2	2195,2041	0,160	SM00326	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00326
2	9657967	9660180	SH3_domain	16.217	-	9657967	9660180	83,88,95	2	2198,2050	0,163	PS50002	http://www.expasy.ch/prosite/PS50002
2	9686227	9691295	T_SNARE_dom	10.054	-	9686227	9691295	83,88,95	2	4916,5033	0,35	PS50192	http://www.expasy.ch/prosite/PS50192
2	9657973	9660825	SH3_domain	0.0	-	9657973	9660825	83,88,95	3	2828,-185,2695	0,2377,157	SSF50044	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF50044
