5	22189226	22194919	DUF1900	185.5	+	22189226	22194919	83,88,95	4	89,145,57,110	0,1930,4923,5583	PF08954	http://pfam.sanger.ac.uk/family?acc=PF08954
5	22149790	22180274	DUF1899	119.4	+	22149790	22180274	83,88,95	2	188,5	0,30479	PF08953	http://pfam.sanger.ac.uk/family?acc=PF08953
5	22180299	22183441	WD40_repeat	37.2	+	22180299	22183441	83,88,95	2	92,5	0,3137	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
5	22183478	22184718	WD40_repeat	30.2	+	22183478	22184718	83,88,95	2	87,28	0,1212	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
5	22184752	22184847	WD40_repeat	24.7	+	22184752	22184847	83,88,95	1	95	0	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
5	22184725	22184847	WD40_repeat	37.3	+	22184725	22184847	83,88,95	1	122	0	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
5	22183472	22184718	WD40_repeat	37.8	+	22183472	22184718	83,88,95	2	93,28	0,1218	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
5	22180269	22183444	WD40_repeat	40.5	+	22180269	22183444	83,88,95	2	122,8	0,3167	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
5	22180299	22188922	WD40_repeat_dom	23.862	+	22180299	22188922	83,88,95	4	92,129,181,2	0,3137,4391,8621	PS50294	http://www.expasy.ch/prosite/PS50294
5	22183493	22184745	WD40_repeat	13.315999999999999	+	22183493	22184745	83,88,95	2	72,55	0,1197	PS50082	http://www.expasy.ch/prosite/PS50082
5	22180299	22183471	WD40_repeat	12.012	+	22180299	22183471	83,88,95	2	92,35	0,3137	PS50082	http://www.expasy.ch/prosite/PS50082
