11	13090595	13095910	GPCR_Rhodpsn	100.3	+	13090595	13095910	83,88,95	3	629,25,96	0,2376,5219	PF00001	http://pfam.sanger.ac.uk/family?acc=PF00001
11	13090523	13091179	7TM_GPCR_serpentine_rcpt_Srx	21.0	+	13090523	13091179	83,88,95	1	656	0	PF10328	http://pfam.sanger.ac.uk/family?acc=PF10328
11	13090538	13090576	Prostanoid_rcpt	269.0	+	13090538	13090576	83,88,95	1	38	0	PR01788	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01788&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01788
11	13090607	13090657	Prostanoid_rcpt	433.0	+	13090607	13090657	83,88,95	1	50	0	PR01788	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01788&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01788
11	13090733	13090774	Prostanoid_rcpt	462.0	+	13090733	13090774	83,88,95	1	41	0	PR01788	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01788&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01788
11	13090922	13090975	Prostanoid_rcpt	403.0	+	13090922	13090975	83,88,95	1	53	0	PR01788	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01788&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01788
11	13091174	13091209	Prostanoid_rcpt	311.0	+	13091174	13091209	83,88,95	1	35	0	PR01788	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01788&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01788
11	13090628	13090669	Thbox_rcpt	526.0	+	13090628	13090669	83,88,95	1	41	0	PR00429	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00429&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00429
11	13090745	13090792	Thbox_rcpt	602.0	+	13090745	13090792	83,88,95	1	47	0	PR00429	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00429&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00429
11	13090934	13090981	Thbox_rcpt	344.0	+	13090934	13090981	83,88,95	1	47	0	PR00429	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00429&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00429
11	13090487	13090531	PglndnF_rcpt	209.0	+	13090487	13090531	83,88,95	1	44	0	PR00855	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00855&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00855
11	13090571	13090618	PglndnF_rcpt	602.0	+	13090571	13090618	83,88,95	1	47	0	PR00855	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00855&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00855
11	13090925	13090966	PglndnF_rcpt	356.0	+	13090925	13090966	83,88,95	1	41	0	PR00855	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00855&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00855
11	13090976	13091029	PglndnF_rcpt	268.0	+	13090976	13091029	83,88,95	1	53	0	PR00855	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00855&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00855
11	13095938	13095991	PglndnF_rcpt	186.0	+	13095938	13095991	83,88,95	1	53	0	PR00855	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00855&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00855
11	13095995	13096100	PglndnF_rcpt	301.0	+	13095995	13096100	83,88,95	2	47,8	0,97	PR00855	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00855&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00855
11	13090565	13090621	Prostglndn_EP3_rcpt	304.0	+	13090565	13090621	83,88,95	1	56	0	PR00582	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00582&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00582
11	13090691	13090738	Prostglndn_EP3_rcpt	348.0	+	13090691	13090738	83,88,95	1	47	0	PR00582	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00582&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00582
11	13090739	13090780	Prostglndn_EP3_rcpt	369.0	+	13090739	13090780	83,88,95	1	41	0	PR00582	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00582&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00582
11	13090541	13095910	GPCR_Rhodpsn_7TM	23.721999999999998	+	13090541	13095910	83,88,95	3	683,25,96	0,2430,5273	PS50262	http://www.expasy.ch/prosite/PS50262
