25	1343198	1360399	Integrin_alpha-2	251.2	+	1343198	1360399	83,88,95	11	164,133,110,85,204,98,76,83,90,113,51	0,4545,5879,6063,6378,9699,12849,14602,15163,15397,17150	PF08441	http://pfam.sanger.ac.uk/family?acc=PF08441
25	1317208	1318234	VWF_A	135.7	+	1317208	1318234	83,88,95	4	109,148,144,135	0,305,628,891	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
25	1339772	1339879	FG-GAP	23.9	+	1339772	1339879	83,88,95	1	107	0	PF01839	http://pfam.sanger.ac.uk/family?acc=PF01839
25	1349087	1349128	Integrin_alpha	180.0	+	1349087	1349128	83,88,95	1	41	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
25	1340988	1343239	Integrin_alpha	181.0	+	1340988	1343239	83,88,95	2	15,43	0,2208	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
25	1317202	1318252	VWF_A	128.9	+	1317202	1318252	83,88,95	4	115,148,144,153	0,311,634,897	SM00327	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00327
25	1330705	1331062	Int_alpha_beta-p	19.6	+	1330705	1331062	83,88,95	2	14,140	0,217	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
25	1296932	1315154	Int_alpha_beta-p	34.6	+	1296932	1315154	83,88,95	3	54,106,5	0,17538,18217	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
25	1366789	1369028	Integrin_alpha	617.0	+	1366789	1369028	83,88,95	2	40,18	0,2221	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
25	1340901	1343257	Int_alpha_beta-p	21.9	+	1340901	1343257	83,88,95	2	102,61	0,2295	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
25	1339760	1340882	Int_alpha_beta-p	56.8	+	1339760	1340882	83,88,95	2	157,9	0,1113	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
25	1340913	1340978	Integrin_alpha	540.0	+	1340913	1340978	83,88,95	1	65	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
25	1339769	1339843	Integrin_alpha	723.0	+	1339769	1339843	83,88,95	1	74	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
25	1331063	1338225	Integrin_alpha	568.0	+	1331063	1338225	83,88,95	2	7,54	0,7108	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
25	1330964	1330999	Integrin_alpha	289.0	+	1330964	1330999	83,88,95	1	35	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
25	1330708	1330948	Integrin_alpha	211.0	+	1330708	1330948	83,88,95	2	11,26	0,214	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
25	1338172	1339744	Int_alpha_beta-p	43.1	+	1338172	1339744	83,88,95	2	142,30	0,1542	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
25	1317208	1318237	VWF_A	27.987	+	1317208	1318237	83,88,95	4	109,148,144,138	0,305,628,891	PS50234	http://www.expasy.ch/prosite/PS50234
