16	45542073	45555820	HCO3_transpt_C	808.5	-	45542073	45555820	83,88,95	11	13728,-174,-133,-245,-105,-161,-113,-161,-251,-68,13643	0,11762,11173,8760,7195,6757,6520,4986,2512,280,104	PF00955	http://pfam.sanger.ac.uk/family?acc=PF00955
16	45556495	45571116	Band3_cytoplasmic_dom	347.2	-	45556495	45571116	83,88,95	6	14480,-188,-115,-157,-87,14514	0,14394,7264,2249,1963,107	PF07565	http://pfam.sanger.ac.uk/family?acc=PF07565
16	45558434	45558600	HCO3_transpt_euk	603.0	-	45558434	45558600	83,88,95	2	153,142	0,24	PR01231	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01231&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01231
16	45553754	45553783	HCO3_transpt_euk	277.0	-	45553754	45553783	83,88,95	1	29	0	PR01231	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01231&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01231
16	45553673	45553708	HCO3_transpt_euk	501.0	-	45553673	45553708	83,88,95	1	35	0	PR01231	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01231&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01231
16	45550707	45550745	HCO3_transpt_euk	409.0	-	45550707	45550745	83,88,95	1	38	0	PR01231	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01231&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01231
16	45550644	45550682	HCO3_transpt_euk	385.0	-	45550644	45550682	83,88,95	1	38	0	PR01231	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01231&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01231
16	45548546	45548575	HCO3_transpt_euk	263.0	-	45548546	45548575	83,88,95	1	29	0	PR01231	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01231&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01231
16	45546934	45546963	HCO3_transpt_euk	409.0	-	45546934	45546963	83,88,95	1	29	0	PR01231	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01231&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01231
16	45544568	45546921	HCO3_transpt_euk	528.0	-	45544568	45546921	83,88,95	2	2330,2336	0,17	PR01231	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01231&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01231
16	45571093	45571113	Na/HCO3_transpt	309.0	-	45571093	45571113	83,88,95	1	20	0	PR01232	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01232&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01232
16	45558416	45558442	Na/HCO3_transpt	270.0	-	45558416	45558442	83,88,95	1	26	0	PR01232	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01232&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01232
16	45556525	45556551	Na/HCO3_transpt	442.0	-	45556525	45556551	83,88,95	1	26	0	PR01232	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01232&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01232
16	45556495	45556521	Na/HCO3_transpt	560.0	-	45556495	45556521	83,88,95	1	26	0	PR01232	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01232&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01232
16	45555902	45556491	Na/HCO3_transpt	566.0	-	45555902	45556491	83,88,95	2	554,587	0,2	PR01232	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01232&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01232
16	45553154	45553177	Na/HCO3_transpt	338.0	-	45553154	45553177	83,88,95	1	23	0	PR01232	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01232&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01232
16	45550734	45550757	Na/HCO3_transpt	301.0	-	45550734	45550757	83,88,95	1	23	0	PR01232	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01232&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01232
16	45538524	45572724	HCO3_transpt_euk	1173.7	-	45538524	45572724	83,88,95	20	34136,-160,-188,-115,-157,-87,-146,-103,-174,-133,-245,-105,-161,-113,-161,-251,-68,-173,-131,34156	0,32611,32365,25235,20220,19934,18078,17380,15311,14722,12309,10744,10306,10069,8535,6061,3829,3653,1133,44	TIGR00834	http://www.ebi.ac.uk/interpro/signature/TIGR00834
16	45555884	45572730	PTrfase/Anion_transptr	0.0	-	45555884	45572730	83,88,95	8	16776,-160,-188,-115,-157,-87,-146,16826	0,15251,15005,7875,2860,2574,718,20	SSF55804	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF55804
