3	38349716	38619537	EnaC	465.3	+	38349716	38619537	83,88,95	10	173,150,127,150,56,153,91,79,68,32	0,150675,203026,226158,237212,253757,259423,259597,266698,269789	TIGR00859	http://www.ebi.ac.uk/interpro/signature/TIGR00859
3	38349383	38609383	Na+channel_ASC	528.5	+	38349383	38609383	83,88,95	8	506,150,127,150,56,153,91,70	0,151008,203359,226491,237545,254090,259756,259930	PF00858	http://pfam.sanger.ac.uk/family?acc=PF00858
3	38349443	38349496	Na+channel_ASC	189.0	+	38349443	38349496	83,88,95	1	53	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
3	38349563	38349613	Na+channel_ASC	499.0	+	38349563	38349613	83,88,95	1	50	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
3	38349836	38349871	Na+channel_ASC	272.0	+	38349836	38349871	83,88,95	1	35	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
3	38500469	38500525	Na+channel_ASC	427.0	+	38500469	38500525	83,88,95	1	56	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
3	38552852	38575906	Na+channel_ASC	232.0	+	38552852	38575906	83,88,95	2	17,32	0,23022	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
3	38603508	38603570	Na+channel_ASC	415.0	+	38603508	38603570	83,88,95	1	62	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
3	38603625	38609199	Na+channel_ASC	393.0	+	38603625	38609199	83,88,95	2	1,60	0,5514	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
3	38609197	38609323	Na+channel_ASC	236.0	+	38609197	38609323	83,88,95	2	33,10	0,116	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
3	38609321	38609371	Na+channel_ASC	476.0	+	38609321	38609371	83,88,95	1	50	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
